lemma,pos,semantic_relationship,sense_source,sense_target
Haus,noun,narrower,"aus mehreren Räumen bestehender, abgetrennter Bereich innerhalb eines unter 2 beschriebenen Gebäudes, in dem sich eine oder mehrere Personen ständig aufhalten können, leben","Die Behausung eines Menschen, sein Wohnsitz."
Haus,noun,narrower,"eine Reihe von adligen (angesehenen) Persönlichkeiten, Herrschern hervorgebrachtes Geschlecht","Eine Familie und ihre Nachkommen, z.B. ein Königshaus."
Boden,noun,broader,die Erdoberfläche,"Die oberste Schicht der Erdoberfläche, die aus zermahlenem Gestein, Humus, Wasser und Luft besteht."
Boden,noun,broader,die oberste Schicht der Erdkruste,"Die oberste Schicht der Erdoberfläche, die aus zermahlenem Gestein, Humus, Wasser und Luft besteht."
Boden,noun,exact,Dachboden,Ein Raum am oberen Ende eines Hauses unter der Dachfläche.
Boden,noun,narrower,Erdboden oder Fußboden,"Der unterste Teil eines Raums, der tragende Teil eines Raums."
Boden,noun,narrower,Erdboden oder Fußboden,"Der entfernteste Teil in der Richtung, in welche ein unbefestigter Gegenstand fallen würde."
Herz,noun,exact,das Zentralorgan für den Blutkreislauf,"Ein muskulöses inneres Organ, das das Blut durch den Körper pumpt."
Herz,noun,narrower,"für Liebe, Seele, Güte","Stilisierte Darstellung des Körperorgans, in Form von zwei Loben und einem spitz zulaufenden unteren Ende, das als Symbol für Zuneigung benutzt wird."
Herz,noun,narrower,ein Symbol (♥) für 2,"Stilisierte Darstellung des Körperorgans, in Form von zwei Loben und einem spitz zulaufenden unteren Ende, das als Symbol für Zuneigung benutzt wird."
Verkehr,noun,narrower,"Bewegung von Fahrzeugen, Menschen, Gütern, Nachrichten auf dafür vorgesehenen Strecken, Wegen","Die Bewegung von Fahrzeugen, Schiffen, Fluggeräten, Personen, usw., in einem Gebiet oder über eine Route."
Verkehr,noun,narrower,"Bewegung von Fahrzeugen, Menschen, Gütern, Nachrichten auf dafür vorgesehenen Strecken, Wegen","Die Fahrzeuge, Personen usw., die sich in einem Gebiet oder auf einer Strecke bewegen."
Straße,noun,broader,"ein landgebundenes Verkehrsbauwerk, das dem Bewegen von Fahrzeugen und Fußgängern zwischen zwei Orten und/oder Positionen dient","Eine lange Strecke harter Boden, auf der man von einem Ort zum anderen fahren kann."
Straße,noun,broader,"ein landgebundenes Verkehrsbauwerk, das dem Bewegen von Fahrzeugen und Fußgängern zwischen zwei Orten und/oder Positionen dient",Ein gepflasterter Teil einer Landstraße (meist in einem Dorf oder einer Stadt).
Straße,noun,exact,Meerenge,"Ein schmales Gewässer, das zwei größere Gewässer (meistens Meere) verbindet"
Gebiet,noun,narrower,"räumlicher Bereich mit einer bestimmten Ausdehnung, Fläche",Eine bestimmte geografische Einheit.
Mensch,noun,narrower,"Lebewesen; Spezies, der Klasse der Säugetiere angehörend, die sich durch folgende besondere Eigenschaften auszeichnet aufrechter Gang, Sprache, Erfindertum, Vorausdenken und Nachahmung",Ein Angehöriger der menschlichen Spezies.
Mensch,noun,exact,als einzelnes Individuum,Ein Mensch.
Vektor,noun,broader,ein Element eines Vektorraums,"Objekt, das sowohl durch einen Wert als auch eine Richtung bestimmt ist im Gegensatz zu einem Skalar, der nur durch einen Wert bestimmt ist (Mathematik, Physik)"
Vektor,noun,narrower,"eine Äquivalenzklasse von Pfeilen gleicher Länge (Betrag), gleicher Richtung und gleicher Orientierung","Objekt, das sowohl durch einen Wert als auch eine Richtung bestimmt ist im Gegensatz zu einem Skalar, der nur durch einen Wert bestimmt ist (Mathematik, Physik)"
Schwester,noun,exact,weibliches Kind derselben Eltern,"Eine weibliche Person, die dieselben Eltern hat wie eine andere Person."
Tag,noun,broader,Zeitraum zwischen Sonnenaufgang und Sonnenuntergang,"Die Periode zwischen Sonnenaufgang und Sonnenuntergang, während derer man das Tageslicht hat."
Tag,noun,exact,Zeitspanne von 24 Stunden,Ein Zeitraum von 24 Stunden.
Kind,noun,broader,"heranwachsender Mensch, aber noch kein Jugendlicher","Person, die noch nicht die Pubertät erreicht hat."
Kind,noun,broader,"Mensch, mit Bezug auf seine familiäre Zugehörigkeit (Beziehung der Abkommenschaft)",Ein biologischer Nachfahre.
Arbeit,noun,narrower,"ausführende, zweckgerichtete Tätigkeit","Produktive Aktivität, Dienstleistung, Gewerbe oder Handwerk, für das man regelmäßig bezahlt wird."
Arbeit,noun,narrower,"Tätigkeit, die erledigt wird, um Geld zu verdienen","Produktive Aktivität, Dienstleistung, Gewerbe oder Handwerk, für das man regelmäßig bezahlt wird."
Arbeit,noun,narrower,"Verhältnis, bei dem man eine Tätigkeit gegen Geld verrichtet","Produktive Aktivität, Dienstleistung, Gewerbe oder Handwerk, für das man regelmäßig bezahlt wird."
Arbeit,noun,exact,"Energie, die durch Kraft über einen Weg auf einen Körper übertragen wird","Energiemenge, die von einer Kraft übertragen wird"
Frau,noun,broader,"erwachsener, weiblicher Mensch","Erwachsene, menschliche Angehörige des Geschlechts, das Eizellen produziert und Kinder gebärt."
Frau,noun,exact,"verheiratete Frau, Ehefrau",Eine verheiratete Frau.
Frau,noun,exact,"Höflichkeitsanrede für eine einzelne weiblich|weibliche Person, Namenszusatz","Anrede für einen erwachsenen, weiblichen Menschen."
Brücke,noun,broader,künstlicher Weg zur Überquerung eines Hindernisses,"Eine Struktur, die eine Straße, Bahnstrecke, einen Fluss oder ein anderes Hindernis überspannt und einen Weg darüber bietet."
Schuld,noun,narrower,"Verbindlichkeit, Pflicht, etwas zu tun oder zu unterlassen","Etwas, das einem anderen geschuldet wird."
Schuld,noun,narrower,"Verpflichtung zu einer Leistung an einen Dritter|Dritten, in Geld oder sonstigen Werten","Etwas, das einem anderen geschuldet wird."
Schuld,noun,exact,moralisches Fehlverhalten oder die Last infolge des Fehlverhaltens,Die Tatsache etwas Falsches getan zu haben.
Schwanz,noun,exact,hinterer Körperfortsatz bei Tieren,Der Anhang vieler Tiere am Ende des Rückens und nahe beim After.
Schwanz,noun,exact,Penis,"Das männliche Geschlechtsorgan für Kopulation und Harndrang, der rohrförmige Abschnitt der männlichen Genitalien (mit Ausnahme des Hodensacks)"
Erde,noun,exact,"der lockere Bestandteil von , das Erdreich","Das weiche und lockere Material, aus dem ein Großteil der Erdoberfläche besteht."
Erde,noun,narrower,"belebter und dritter, von der Sonne aus gezählter Planet in unserem Sonnensystem",Der dritte Planet (von innen gezählt) in unserem Sonnensystem.
Erde,noun,narrower,eine leitende Verbindung zur Erde 2,"Knoten eines elektrischen Systems, der als Referenzpotential für alle anderen Knoten des Systems verwendet wird."
Säure,noun,related,"chemische Verbindung, die im Zuge einer Säure-Base-Reaktion Protonen abgeben kann","Ein Stoff, der imstande ist, Wasserstoff-Ionen in Lösung zu bringen."
Säure,noun,exact,saurer Geschmacksbestandteil,"Ein Geschmack, welcher von Saurem hervorgerufen wird."
Pferd,noun,broader,"ein Haustier, Nutztier und Reittier, das Hauspferd",Ein großes Tier mit vier Beinen auf dem Menschen reiten und das sie zum Tragen von Lasten oder zum Ziehen von Fahrzeugen nutzen.
Pferd,noun,broader,Tier aus der Familie (equidae) bzw. der Gattung der Pferde (equus),Ein großes Tier mit vier Beinen auf dem Menschen reiten und das sie zum Tragen von Lasten oder zum Ziehen von Fahrzeugen nutzen.
Pferd,noun,exact,eine Schachfigur; der Springer,"Spielfigur im Schachspiel, die oft so geformt ist, dass sie dem Kopf eines Pferds ähnelt."
Pferd,noun,broader,ein Sportgerät im Turnsport,"Ein Kunstturngerät, bestehend aus einem horizontalen, 160 x 35 cm großen und 115 cm vom Boden entfernten Balken mit zwei, 40 bis 45 cm auseinander liegenden Griffen auf der Oberseite. Wird nur von männlichen Athleten benutzt."
Gesetzgebung,noun,broader,Erlass von Gesetzen,Gesetzgeberische Tätigkeit oder Verfahren.
Gesetzgebung,noun,broader,Erlass von Gesetzen,"Das gesamte notwendige Verfahren, um einem Gesetz, einem Beschluss oder einem besonderen Rechtsakt einen rechtsverbindlichen Status zu verleihen."
Population,noun,exact,die Gesamtheit der Individuen einer Art in einem Biotop,"Eine Gruppe Organismen einer Spezies, die ein definietes Gebiet einnehmen."
Population,noun,exact,Bevölkerung,"Die Menschen, welche in einem bestimmten Gebiet leben, als Ganzes."
Welt,noun,exact,der Planet Erde,Der dritte Planet (von innen gezählt) in unserem Sonnensystem.
Welt,noun,broader,"die erkennbare Welt, das Universum",Die Erde mit allen Bewohnern und Dingen auf ihr.
Welt,noun,narrower,"die erkennbare Welt, das Universum",Die Gesamtheit alles Existierenden.
Welt,noun,narrower,"großräumige Teile der Erde, die gleiche politische, historische, wirtschaftliche und soziale Merkmale besitzen oder zeitlich in einem Zusammenhang stehen, die Weltgesellschaft als solche, die Gesamtheit aller Menschen",Die Erde mit allen Bewohnern und Dingen auf ihr.
Welt,noun,narrower,"Systeme von Lebewesen, die gemeinsame Merkmale besitzen",Die Gesamtheit alles Existierenden.
Elektronik,noun,broader,"Teilgebiet der Elektrotechnik, das sich mit elektronischen Bauelementen, also zum Beispiel Elektronenröhren, Transistoren, Spulen oder Fotozellen befasst","Studium, Kontrolle und Anwendung der Leitung von Elektrizität durch Gase oder Vakuum oder durch Halbleiter- und Leitermaterialien."
Elektronik,noun,exact,elektronischer Teil eines Geräts oder einer Anlage,Elektronischer Teil eines Geräts
Ordnung,noun,broader,"Zusammenfassung mehrerer eng verwandter Familien, wobei eine oder mehrere Ordnungen eine Klasse bilden","Biologisches Taxon, eine Gruppe (verwandter) Arten, Teil einer Klasse und bestehend aus einer oder mehreren Familien"
Ordnung,noun,broader,"aufräumen|aufgeräumter, organisieren|organisierter Zustand",Ein Zustand der regelmäßigen oder richtigen Anordnung.
Parasit,noun,broader,schmarotzendes Lebewesen,"Organismus, der auf Kosten eines anderen Organismus (des Wirts) lebt und Nahrung bezieht."
Parasit,noun,broader,schmarotzender Zeitgenosse,"Jemand, der seine Mitmenschen ausnutzt"
Verunreinigung,noun,broader,Zustand und Vorgang des kontaminieren|Kontaminierens/des Verunreinigens,Der Vorgang des Kontaminierens.
Verunreinigung,noun,broader,Zustand und Vorgang des kontaminieren|Kontaminierens/des Verunreinigens,"Die direkte oder indirekte Veränderung der biologischen, thermischen, physikalischen oder radioaktiven Eigenschaften eines jeglichen Mediums in einer Weise, die eine Gefährdung oder potentielle Gefährdung für die menschliche Gesundheit oder Gesundheit, Sicherheit und Wohlergehen einer jeglichen lebenden Art darstellt."
Wanze,noun,broader,eine Unterordnung der Insekten innerhalb der Schnabelkerfen,"Insekt aus der Unterordnung Heteroptera mit stechend-saugenden Mundwerkzeugen, die zu einem Schnabel spezialisiert sind."
Wanze,noun,broader,eine Unterordnung der Insekten innerhalb der Schnabelkerfen,"Kleines blutsaugendes Insekt, das in Häusern und speziell in Betten lebt."
Mutter,noun,exact,"weibliches Elternteil; eine Frau, welche Kinder geboren hat","Eine Frau, die mindestens ein Kind hat."
Mutter,noun,broader,Matrize,"Teil, das man auf eine Schraube drehen kann."
Ohr,noun,broader,Sinnesorgan zur Wahrnehmung von akustischen Signalen (Gehör),"Das Hörorgan, welches aus Ohrmuschel, Gehörgang, Trommelfell, Gehörknöchelchen, Amboss, Steigbügel und Gehörschnecke besteht."
Ohr,noun,exact,der von außen sichtbare Teil des Sinnesorgans (Ohrmuschel),Der äußere Teil des Ohrs (Hörorgan) um die Ohröffnung
Zunge,noun,broader,"das bewegliche Organ im Mund, mit dem man schmeckt, schleckt, leckt, die Nahrung hin und her schiebt und spricht","Ein bewegliches, muskulares Organ im Mund, das zum Kauen von Nahrung sowie zum Schmecken benutzt wird und das in verschiedene Positionen gebracht werden kann, um den Durchfluss der aus den Lungen kommenden Luft zu regeln, womit verschiedene Laute erzeugt werden können."
Zunge,noun,exact,bewegliche Lasche in der Mitte des Schuhs,"Das Stück, was beim Schuh zwischen den Schnürbändeln und dem Fuß sitzt."
Zunge,noun,broader,Sprache,"Die Art eines Menschen, zu reden oder sich auszudrücken."
Hygiene,noun,exact,"Gesundheitspflege, alle Aktivitäten, um Menschen gesund zu erhalten und Krankheiten zu verhüten","Gesamtheit der Maßnahmen zur Erhaltung der Gesundheit, der Verhütung und Bekämpfung von Krankheiten und gesunder Lebensweise."
Hygiene,noun,exact,"Fachbereich Gesundheitslehre, über die Förderung und Erhaltung von Gesundheit",Die Lehre und Anwendung von praktischen Maßnahmen zur Erhaltung der öffentlichen Gesundheit.
Reis,noun,narrower,"weißes, gekocht gegessenes Getreide",gekochter Reis
Reis,noun,broader,"Pflanze, an der das gleichnamige Getreide wächst","Früchte der Reispflanze, die als Nahrung verwendet werden."
Licht,noun,broader,allgemeine Beleuchtung,"Alles, egal ob natürlich oder künstlich, was Licht produziert."
Licht,noun,narrower,künstliche Beleuchtung,"Alles, egal ob natürlich oder künstlich, was Licht produziert."
Licht,noun,narrower,natürliche Beleuchtungsquelle,"Alles, egal ob natürlich oder künstlich, was Licht produziert."
Licht,noun,narrower,elektromagnetische Welle im Bereich von Infrarot bis Ultraviolett,"Elektromagnetische Strahlung, die mit den Augen wahrgenommen werden kann."
Pelz,noun,broader,behaartes Tierfell,"Das behaarte Fell eines Säugetiers, die zur Herstellung von Kleidung, als Besatz oder Dekoration verwendet wird."
Pelz,noun,exact,Mantel aus behaartem Tierfell,Mantel aus dem Pelz eines Tieres.
Pelz,noun,narrower,"bearbeitetes Tierfell, welches zur Herstellung von Bekleidung verwendet wird","Das behaarte Fell eines Säugetiers, die zur Herstellung von Kleidung, als Besatz oder Dekoration verwendet wird."
Rind,noun,broader,in mehreren Arten vorkommender Paarhufer,"Domestizierte Rinder, wie Kühe, Ochsen und Bullen, die auf Bauernhöfen gezüchtet und gehalten werden."
Rind,noun,broader,in mehreren Arten vorkommender Paarhufer,Ein Horntier (Kuh oder Stier).
Abfall,noun,broader,der bei der Verwendung oder Verarbeitung überfällige Rest (auch im übertragenen Sinn),"Abfälle wie Dosen, Flaschen und Verpackungen, die Leute an öffentlichen Plätzen liegengelassen haben."
Abfall,noun,narrower,"das (unauffällige) Schwinden der Verbindung zu – oder die (ausdrückliche) Lossagung von – einer Lehre, Religion, politischen Partei oder Richtung",Das Abschwören eines Glaubens oder von Glaubenssätzen.
Feder,noun,broader,Keratin auf der Haut von Vögeln,"Ein verzweigtes haarähnliches Gebilde, das auf der Haut von Vögeln wächst, diese vor Kälte und Wasser schützt und ihren Flügeln ermöglicht, Auftrieb zu erzeugen."
Feder,noun,exact,aus 1 hergestelltes Schreibwerkzeug,"Ein Schreibgerät, hergestellt aus einer Vogelfeder."
Feder,noun,narrower,"Bauteil, das durch elastische Verformung mechanische Energie speichert und wieder abgibt","Eine aus flexiblem Material bestehende mechanische Vorrichtung, die Kraft ausübt, wenn sie gespannt wird."
Archipel,noun,exact,"Bereich eines Meeres, in dem sich viele Inseln befinden",Eine Gruppe von Inseln mit dem sie umgebenden Meer.
Linie,noun,broader,(gedachte) gerade oder gekrümmte Verbindung zwischen zwei Punkten,"Eine gerade Linie, die von zwei Punkten begrenzt wird. Stellt die kürzeste Verbindung der beiden Endpunkte dar."
Linie,noun,broader,(gedachte) gerade oder gekrümmte Verbindung zwischen zwei Punkten,Die lokal kürzeste Verbindung zweier Punkte.
Linie,noun,broader,"Verkehrslinie (Buslinie, U-Bahn-Linie)","Eine Linie im Verkehrswesen ist die regelmäßige Bedienung eines bestimmten (Linien-)Weges durch öffentliche Verkehrsmittel (Eisenbahn, Straßenbahn, Omnibus). Dies geschieht täglich oder an bestimmten Betriebstagen in der Regel mehrmals. Eine Linie ist nicht zu verwechseln mit einer Strecke, beispielsweise Eisenbahnstrecke, die lediglich den Fahrweg darstellt und durchaus von mehreren Linien befahren werden kann oder auch von gar keiner Linie. Umgekehrt kann eine Linie mehrere Strecken befahren."
Linie,noun,broader,Aufstellung militärischer Einheiten,Eine Schlachtaufstellung der Infantrie.
Punkt,noun,broader,"etwas in jeder Richtung Kleines, ein kleiner Fleck","Ein kleiner Fleck, ein kleines Mal oder Merkmal, das keine Details enthält."
Punkt,noun,narrower,"Satzzeichen, welches das Ende eines Aussagesatzes kennzeichnet „.“",Ein punktförmiges Satzzeichen.
Punkt,noun,narrower,"Satzzeichen, welches das Ende eines Aussagesatzes kennzeichnet „.“","Das punktförmige Satzzeichen, welches das Ende eines Satzes anzeigt."
Punkt,noun,narrower,"ein bestimmter, genau definieren|definierter Ort",Ein bestimmter Ort in einem Kontinuum.
Meinung,noun,broader,der selbst gebildete Standpunkt eines Menschen,"Das, was jemand für wahr hält das Akzeptieren eines Faktes, einer Meinung oder einer Annahme als wahr trotz eines Mangels an starken Beweisen oder direktem Wissen."
Meinung,noun,broader,"die persönliche Bewertung einer Sache oder Person, auch die Bewertung durch eine Gruppe","Beurteilung oder Glaube, der nicht auf Gewissheit oder Beweisen basiert."
Virus,noun,broader,"kleinster Krankheitserreger, der sich nur in Zellen vermehren kann","Submikroskopischer (Krankheits-) Erreger, der Pflanzen, Tiere und Bakterien befällt und sich außerhalb der Gewebe seines Wirts nicht fortpflanzen kann"
Virus,noun,exact,"schädlicher, sich selbst durch Hilfe von Programmen verbreitender, selbst nicht lauffähiger (ausführbarer) Kode","Computerprogramm, das dem Computer Schaden zufügen soll und das fähig ist sich auf andere Computer weiterzuverbreiten."
Schnee,noun,narrower,Niederschlag in Form von Eiskristallen,Aus kleinen Eiskristallen bestehendes Material.
Schnee,noun,broader,Niederschlag in Form von Eiskristallen,"Die häufigste Form von gefrorenem Niederschlag, gewöhnlich Flocken oder sternförmige Kristalle."
Schnee,noun,broader,Kokain,Straßenname für Kokain.
Farbe,noun,broader,zusammengehörige Spielkarten in verschiedenen Kartenspielen,"Eine von mehreren Klassen eines Kartenspiels, die sich durch Farbe und/oder spezifische Symbole unterscheiden"
Atmosphäre,noun,exact,Gashülle eines Himmelskörpers,Gashülle eines Himmelskörpers
Atmosphäre,noun,broader,Gashülle eines Himmelskörpers,"Gasförmige Hülle, die die Erde in einer mehrere Kilometer dicken Schicht umgibt."
Mann,noun,broader,"erwachsener, männlicher Mensch","Ein erwachsenes Mitglied des Geschlechts, das die Empfängis von Nachwuchs durch das Befruchten von Eizellen bewirken kann."
Mann,noun,exact,Ehemann,Männlicher Partner in einer Ehe.
Sprache,noun,narrower,"das Vermögen, die allgemeine Fähigkeit zu sprechen, sich zu verständigen; der Informationsträger mündlicher oder schriftlicher Kommunikation (= langage, Sprachvermögen/Sprachfähigkeit)","Varietät von Sprache, die den Sprechern als System der Kommunikation dient."
Sprache,noun,narrower,"ein System von Einheiten und Regeln, das den Mitgliedern einer Sprachgemeinschaft als Mittel der Verständigung dient (= Langue, Einzelsprache)","Varietät von Sprache, die den Sprechern als System der Kommunikation dient."
Sprache,noun,narrower,"Art der Sprachverwendung Rede (= parole), Sprechweise, Schreibweise, Stil","Die Art eines Menschen, zu reden oder sich auszudrücken."
Sprache,noun,exact,"Art der Aussprache, der Artikulation","Die Art eines Menschen, zu reden oder sich auszudrücken."
Partikel,noun,broader,im weiten Sinne Oberbegriff für alle nicht flektierbaren Wortarten,"Eine Wortart, die keine Veränderung erfährt, egal wie und wo im Satz sie gebraucht wird. Sie bestimmn das Verhältnis anderer Satzglieder zueinander oder bestimmen oder präzisieren die Verhältnisse oder Umstände einer Aussage. Beispiele sind die Wörter: aber, an, auch, bei, eben, für, gleich, leider, sonst, zu."
Partikel,noun,exact,"im engen Sinne nicht flektierbare, nicht satzgliedfähige Wörter, die die Bedeutung ihrer Bezugseinheiten beeinflussen","Eine Wortart, die keine Veränderung erfährt, egal wie und wo im Satz sie gebraucht wird. Sie bestimmn das Verhältnis anderer Satzglieder zueinander oder bestimmen oder präzisieren die Verhältnisse oder Umstände einer Aussage. Beispiele sind die Wörter: aber, an, auch, bei, eben, für, gleich, leider, sonst, zu."
Vater,noun,exact,männlicher Elternteil,Der männliche Elternteil.
Vater,noun,broader,(Umschreibung für) Gott,"Das höchste Wesen, der Schöpfer und der Geist wegen dem und in dem alles ist, wie er von Monotheisten, meist Christen und Juden, genannt wird."
Wild,noun,broader,"Gesamtheit freilebender, jagdbarer Tiere",Gesamtheit aller jagdbaren Säugetiere und Vögel
Wild,noun,narrower,das zubereitete oder zur Zubereitung vorgesehene Fleisch von Wild,Fleisch von üblicherweise wild lebenden Tieren.
Territorium,noun,broader,"ein räumlich begrenzter Bereich, auf den ein Besitzanspruch|Besitz-, Machtanspruch|Macht- oder Hoheitsanspruch erhoben wird","Gebiet, dass von einem bestimmten Land oder Herrscher kontrolliert wird."
Territorium,noun,broader,"ein räumlich begrenzter Bereich, auf den ein Besitzanspruch|Besitz-, Machtanspruch|Macht- oder Hoheitsanspruch erhoben wird","Ein Gebiet, das ein Tier oder eine Gruppe von Tieren verteidigt, in erster Linie gegen Mitglieder der eigenen Art"
Territorium,noun,exact,das jeweilige Hoheitsgebiet von einem Staat oder ein Herrschaftsbereich,"Gebiet, dass von einem bestimmten Land oder Herrscher kontrolliert wird."
Auge,noun,broader,Sinnesorgan zum Sehen,"Lichtempfindliches Organ, das Licht in elektrische Signale umwandelt und ans Gehirn weiterleitet und mit dessen Hilfe Mensch und Tier sehen können."
Auge,noun,exact,Zentrum eines Wirbelsturms,"Das Zentrum eines Sturms, um das herum die Winde blasen."
Auge,noun,broader,"Knospe, besonders bei Kartoffeln",Ein dunkler Fleck auf der Oberfläche eines geschälten Kartoffels. In der Regel hat jeder mehrere davon.
Braut,noun,broader,eine (meist verlobte) Frau bis zum Tage nach der Hochzeit,"Eine Frau, die bald heiraten wird oder gerade geheiratet hat."
Quelle,noun,narrower,"Ursprung eines Flusses, fließenden Gewässers; Ort des augenscheinlichen oberirdischen Austritts von Gewässern","Eine Stelle, an der Wasser aus dem Boden austritt."
