lemma,sense_source,sense_target,semantic_relationship,pos
csapkod," ismételten, többször egymás után úgy üt meg vkit v. vmit, hogy az ütések csattanó hangot adnak"," Ismételten megüt, megcsap vkit, vmit.",broader,verb
csapkod," ismételten, többször egymás után úgy üt vkire, vhova, hogy az ütések csattanó hangot adnak"," <Ember vmely kezében levő, ütésre alkalmas tárggyal> ide-oda v. többször egy irányba csap",narrower,verb
csapkod," 〈kezet〉 ismételten, többször egymás után összeüt, összecsap"," <Kezét, tenyerét rendsz. kétségbeesés v. csodálkozás jeléül> ismételten egymáshoz csapja, összecsapja",narrower,verb
csapkod," ismételten, többször egymás után megtámad vkit"," Ismételten megüt, megcsap vkit, vmit.",narrower,verb
csapkod," ismételten, többször egymás után nagy lendülettel dob, vág vhova vki v. vmi vmit, es. vkit"," <Több hasonló jellegű dolgot, tárgyat> egymás után vhova csap",exact,verb
csapkod," 〈eső, víz〉 (nagy erővel, hevesen) szüntelenül verdes vmit"," <Több hasonló jellegű dolgot, tárgyat> egymás után vhova csap",narrower,verb
csapkod," 〈ajtót, ablakot〉 ismételten, többször egymás után bevág, becsap vki, vmi"," <Ajtót, ablakot> ismételten becsap",exact,verb
csapkod," 〈hangok sora vkinek a fülét〉 hirtelen, nagy erővel éri"," Csapkod vmibe: ismételten belecsap vmibe (2, 3)",narrower,verb
csapkod," heves, verdeső mozgást végez vmi"," <Élőlény> végtagjaival v. végtagjával ismételten heves és erőteljes mozdulatokat tesz, és ezzel rendsz. vmilyen hangot idéz elő",exact,verb
csapkod, 〈állat szárnyát〉 gyorsan fel-le mozgatja," <Élőlény> végtagjaival v. végtagjával ismételten heves és erőteljes mozdulatokat tesz, és ezzel rendsz. vmilyen hangot idéz elő",related,verb
csapkod," 〈áramló víz, szél〉 heves mozgást végezve, ide-oda csapódik", <Anyagi dolog> mozgás közben ismételten nekiütődik vminek,narrower,verb
csapkod, 〈kezével v. vmely tárggyal〉 (összevissza) heves mozgásokat végez," <Élőlény> végtagjaival v. végtagjával ismételten heves és erőteljes mozdulatokat tesz, és ezzel rendsz. vmilyen hangot idéz elő",narrower,verb
csapkod," 〈láng〉 ismételten fellobban, felcsap", Ismételten felcsap (6),narrower,verb
csapkod," 〈lövedék, villám〉 többször egymás után lecsap (vhova)"," Csapkod vmibe: ismételten belecsap vmibe (2, 3)",narrower,verb
csikorgó," olyan 〈tárgy, eszköz stb.〉, amely jellemzően csikorogni szokott"," Olyan, ami csikorog (1), ill. csikorogni szokott",exact,adjective
csikorgó," fogcsikorgatóan hideg, fagyos 〈idő(szak)〉"," Olyan <időjárás, időszak>, amikor igen nagy hideg van, olyan hideg, mint amikor a hó csikorog a talpunk alatt",exact,adjective
csikorgó," súrlódó felületek csikorgására emlékeztető, kellemetlen, éles 〈hang〉","  Csikorgáshoz hasonló <hangjelenség, ill. hangérzet>",exact,adjective
csikorgó," nehézkes(en, akadozva működő), ill. kényszeredett, erőltetett 〈megnyilvánulás〉"," Nehézkesen haladó, ügyetlenül megszerkesztett <vers, versforma>",broader,adjective
csikorgó," (női) csizmában a talp és a talpbélés közé tett, lépéskor súrlódva éles hangot adó bőrdarab"," Csizma, cipő talpbélése alá csikorgó hang adása végett beillesztett kiszárított bőr",exact,noun
elő_1, 〈ruhadarabon:〉 elülső rész," Elülső rész, főleg ruhán",exact,noun
elő_1," 〈vetéskor, kapáláskor, aratáskor:〉 az a(z egy karlendítéssel, egy kaszasuhintással kijelölt szélességű) földsáv, amelyet egyszeri végighaladással munkálnak meg", Megmunkálandó földdarabnak 60–80 lépés hosszú része,exact,noun
elő_1, egy kaszavágással ledöntött gabona- v. fűcsomó, Egy kaszavágással felfogott fű v. gabona,exact,noun
elő_2, érzékelhető v. elérhető helyre,"  jöjjön elő, lépjen elő!",exact,adverb
elő_2, érzékelhető v. elérhető helyen," <Csak a van, lesz igével:> itt a közelben, elérhető helyen",exact,adverb
elzüllik," 〈ember(ek) v. állat(ok csoportja nagyobb) csoportból, közösségből〉 kiválik, attól elszakad, ill. így (szétszéledve) eltávozik, elmegy (vhonnan v. vmerre, vhova)"," <Jószág, ritk. ember> elkóborol, elbitangol, s így elvadul v. elpusztul",related,verb
elzüllik," 〈személy, közösség〉 életmódját tekintve erkölcsileg stb. tönkremegy, leromlik"," <Személy> egészen züllött lesz, a züllés nagy v. végső fokára jut",exact,verb
elzüllik," 〈építmény, gazdaság stb.〉 teljesen elhanyagolt állapotba kerül, pusztulva tönkremegy"," <Gazdaság, intézmény stb.> züllött állapotba kerül",exact,verb
alapító," vminek az alapításában, létrehozásában részt vevő, ahhoz (anyagi) segítséget nyújtó <személy, közösség>"," Olyan, aki vmit alapít.",narrower,adjective
alapító, az 1787-es ún. philadelphiai konvención az USA alkotmányát kidolgozó és elfogadó személy," Olyan, ami az alapításhoz tartozik, azzal együtt jár",narrower,adjective
alapító," vminek a létrehozásában részt vevő, abban fontos szerepet játszó férfi"," Olyan, aki vmit alapít.",narrower,adjective
alapító," vminek a megalapításában, létrehozásában közreműködő személy"," Olyan, aki vmit alapít.",narrower,adjective
alapító," vminek az alapításához tartozó, avval kapcs."," Az a személy, aki vmit alapít (1), ill. vminek alapításában hatékonyan részt vesz",exact,adjective
alapító," alapítvány, intézmény, szervezet stb. felállítását, alapvető működési szabályait rögzítő hivatalos irat"," Olyan, ami az alapításhoz tartozik, azzal együtt jár",narrower,adjective
alapító, ua.," Olyan, ami az alapításhoz tartozik, azzal együtt jár",narrower,adjective
alapító," vmely intézmény, szervezet stb. alapításában kezdeményezőként részt vevő, ahhoz jelentős segítséget nyújtó személy"," Az a személy, aki vmit alapít (1), ill. vminek alapításában hatékonyan részt vesz",narrower,noun
alapító," vmely szellemi mű, rendszer alkotója, létrehozója"," Az a személy, aki vmit alapít (1), ill. vminek alapításában hatékonyan részt vesz",narrower,noun
ámen," <imádság, áldás, átok, eskü v. más (liturgikus) szöveg nyomatékosító lezárásaként, arra adott feleletként, ill. Istent dicsőítő áldásmondásként:> úgy legyen!"," <Ima, áldás végső szavaként:> úgy legyen!",exact,interjection
ámen," imaformula utánzására, felidézésére", <Az ima hangulatának felkeltésére.>,exact,interjection
ámen," ez, az imádság lezárásaként mondott szó"," Imádság utolsó, befejező szava",exact,noun
ámen," beletörődés, beleegyezés, végső jóváhagyás kif-ére", Végső jóváhagyás,related,noun
anarchista," az anarchizmusnak mint politikai irányzatnak híve, követője", Az anarchizmus híve,exact,noun
anarchista, ehhez a (politikai) irányzathoz tartozó személyek pártja v. (laza) csoportosulása, Az anarchizmus híve,narrower,noun
anarchista," a (külső) hatalmat, tekintélyuralmat nem tisztelő, (szélsőségesen) öntörvényű, autonóm ember, kül. művész"," A rendet, fegyelmet megbontó személy",exact,noun
anarchista," olyan <személy v. csoport>, aki v. amely a politikai anarchizmus híve, követője"," Olyan <személy, közösség>, aki, amely az anarchizmus híve",exact,adjective
anarchista," a politikai anarchizmus felfogását, eszméjét tükröző, azzal, ill. követőjével kapcs., arra jellemző"," Az anarchizmussal kapcs., rá jellemző. Anarchista merénylet, rendbontás, tanok.",broader,adjective
anarchista," a (külső) hatalmat, rendet, fegyelmet elvető <ember v. csoport(osulás)>"," Olyan <személy>, aki a rendet, fegyelmet megbontja",exact,adjective
annales, az események évenkénti feljegyzése időrendi sorrendben (mint ókori és középkori történetírási műfaj)<syn>évkönyv, Évkönyv (1).,exact,noun
annales," vmely testület, intézmény működéséről szóló, ill. kiadásában rendsz. évenként megjelenő, tanulmányokat tartalmazó időszaki nyomtatvány"," Krónika (1, 1a)",narrower,noun
annales," vkinek v. vminek a történetéről, ill. fontos eseményekről szóló beszámoló<syn special=""comma"">krónika"," Krónika (1, 1a)",narrower,noun
antiszemita," a zsidósággal szemben ellenséges érzületű, zsidóellenes, zsidógyűlölő <személy, csoport>"," A zsidóság iránt ellenséges érzületű, zsidóellenes <személy, közösség>",exact,adjective
antiszemita," ilyen személlyel, csoporttal kapcs., rá jellemző <magatartás, tevékenység>"," Ilyen személyre, közösségre jellemző, rá valló, tőle származó, vele kapcs.",narrower,adjective
antiszemita," antiszemitizmust hirdető, valló, tükröző <(világ)nézet, megnyilvánulás stb.>"," Ilyen személyre, közösségre jellemző, rá valló, tőle származó, vele kapcs.",narrower,adjective
antiszemita," erre a világnézetre épülő <(politikai) szervezet, politika(i irányzat), törekvés>"," Ilyen személyre, közösségre jellemző, rá valló, tőle származó, vele kapcs.",narrower,adjective
antiszemita," antiszemitizmust hirdető, valló személy", Antiszemita személy,exact,noun
arany," sárga színű, élénk fényű, nagy fajsúlyú nemesfém <tr>Au</tr>"," Sárga színű, nagy fajsúlyú, igen képlékeny, nem oxidálódó nemesfém (Au); a legértékesebb fémek egyike",exact,noun
arany, ez a fém mint a vert pénz egyik alapanyaga s mint általános csereeszköz és az áru értékmérője," Ez a fém mint a vert pénz egyik alapanyaga s mint pénz, általános csereeszköz és az áru értékmérője",exact,noun
arany," <kül. az ötvösiparban:> alapanyagként haszn., legnagyobb részben ezt a fémet tartalmazó ötvözet", Legnagyobb részben ezt a fémet tartalmazó ötvözet; az ékszeripar egyik legfontosabb alapanyaga,exact,noun
arany," ilyen anyagból készült tárgy, ill. dísz(ítmény)", Ebből az anyagból készült tárgy,exact,noun
arany," ilyen fémből vert, meghatározott pénznemű és egységű pénzérme, ill. ennek megfelelő érték", Ebből a fémből vert pénz; aranyérme,exact,noun
arany," semmi áron, semmiképpen se(m)"," semmi pénzért, semmiért a világon nem k.",exact,noun
arany," kincs, gazdagság"," Általában pénz, gazdagság",exact,noun
arany," sokat ér, nagyon értékes", nagyon meg kellene becsülni,related,noun
arany," aranyfonal, ill. aranyszál", Aranyszál (1),broader,noun
arany, (vminek az) aranyszín(e), Aranyszín(ű fény),narrower,noun
arany, kedveskedő megszólításként," Aranyom: <kedveskedő, becéző megszólításként>",exact,noun
arany, (részben) ilyen fémből készült," Ilyen anyagból való, ebből készült",exact,adjective
arany," aranyszínű, aranylóan fénylő"," Aranyhoz (1–2) hasonló, aranyszínű",exact,adjective
arany," szélsőségeket kerülő, bölcs magatartás"," Arany középút v. középszer: szélsőségektől, túlzásoktól tartózkodó s ezért a legjobbnak tartott magatartás",narrower,adjective
arany, ua.," Arany középút v. középszer: szélsőségektől, túlzásoktól tartózkodó s ezért a legjobbnak tartott magatartás",narrower,adjective
arany," gondtalan, zavartalanul boldog"," Zavaró körülményektől mentes, kellemes, derűs <élet, életszak, életmód>",exact,adjective
arany," kedveskedő, becéző megszólításban"," <Kedveskedő, becéző megszólításban>",exact,adjective
ásónyom," a talajba tövig nyomott ásóval elért mélység, ill. az ásólap szélessége"," Az a mélység, amelyet a talajba tövig, köpüig (4) nyomott ásó feje vág",broader,noun
ásónyom, az így elért <mélység>," Annyi <föld>, amennyit így lenyomott ásóval egyszerre ki lehet emelni",related,noun
ásónyom, a lenyomott ásóval egyszerre kiemelhető föld mennyisége," Földből az a mennyiség, amelyet így lenyomott ásóval egyszerre ki lehet emelni",exact,noun
áspiskígyó, halálos marású mérges kígyó," A viperával rokon, mintegy 50–60 cm hosszúságú, Európa délnyugati részein élő mérges kígyó; áspis (Vipera aspis).",broader,noun
áspiskígyó," a viperafélék családjába tartozó, 50–70 centiméter hosszúra megnövő délnyugat-európai mérges kígyó, áspisvipera <tr>Vipera aspis</tr>"," A viperával rokon, mintegy 50–60 cm hosszúságú, Európa délnyugati részein élő mérges kígyó; áspis (Vipera aspis).",exact,noun
áspiskígyó," álnok, gonosz, ill. házsártos személy, kül. nő"," Veszekedős, házsártos, rosszindulatú és alattomos személy, rendsz. asszony",exact,noun
asztal," láb(ak)ból, ill. lábazatból és ez(ek)en nyugvó vízszintes lapból álló bútordarab"," Egy v. több lábból s ezeken nyugvó sima, rendsz. vízszintes lapból álló bútor, amely arra való, hogy egyenek, dolgozzanak, tárgyakat helyezzenek el v. bizonyos játékokat játsszanak rajta",exact,noun
asztal, (megterített) étkezőasztal, Étkezésre haszn. ilyen bútordarab,exact,noun
asztal, a megterített étkezőasztal mellett helyet foglal és nekilát az étkezésnek, étkezéshez kezd,exact,noun
asztal," étkezés, evés","  (Asztalnál való) étkezés, lakoma",broader,noun
asztal," közös étkezés, lakoma","  (Asztalnál való) étkezés, lakoma",narrower,noun
asztal, az étkezőasztal körül (rendszeresen) helyet foglaló és étkező társaság, Az asztal (1a) körül ülő és ott étkező nagyobb társaság; asztaltársaság,exact,noun
asztal," élelmezés, ellátás"," Élelmezés, koszt",exact,noun
asztal," az a helyzet, lehetőség, amelyben vki részesül vmiben"," Az a hely(zet), lehetőség, ahol, ill. amelyben vki részesül vmiben",exact,noun
asztal," <bridzsben:> a kiterített lapok, ill. maga a játékos, akinek a lapjai ki vannak terítve"," <Bridzsjátékban> azok a kártyalapok, amelyeket a felvevő játékos partnere az asztalra köteles kiteríteni",broader,noun
asztal, <pénzre történő kártyajátékoknál:> a bankban levő pénz, <Hazárdjátékban> a bankban levő pénz,exact,noun
asztal, gépnek a munkadarabot tartó vízszintes része," <Gépen> az a rendsz. vízszintes helyzetű rész, amelyre a megmunkálás vmely szakaszában a munkadarabok kerülnek",exact,noun
atyamester, <céhben> a céhlegények felügyeletét ellátó (választott) elöljáró<syn>céhmester," <A céhrendszerben> a céh egyik tisztségviselője, a legények elöljárója, feje",exact,noun
atyamester, vmely szakma kiváló művelője," Vmely szellemi, főleg tudományos v. művészeti tevékenység területén kimagasló, példamutató tekintély",narrower,noun
atyamester," vmely tudomány, művészeti ág stb. megteremtője, ill. ennek (leginkább) elismert képviselője, tekintélye"," Vmely szellemi, főleg tudományos v. művészeti tevékenység területén kimagasló, példamutató tekintély",narrower,noun
atyaúristen," <a keresztény tanítás szerint:> a Szentháromság első személye, a teremtő Isten; atyaisten", Atyaisten,narrower,noun
atyaúristen," indulatos beszédben tiltakozás, hárítás, tagadás, ill. felháborodás kif-ére", Atyaisten (3).,narrower,noun
atyaúristen, káromkodásban, Atyaisten (3).,narrower,noun
automata," vmely műveletet v. műveletsort önműködően, közvetlen emberi beavatkozás nélkül végrehajtó eszköz, berendezés"," Önműködő készülék, gép(ezet), amely a belsejében levő szerkezet által mozog, hangot ad, vmely emberi tevékenységet utánoz, pótol, vmit kiszolgáltat, v. vmely (bonyolult) műveletet külső irányítás nélkül elvégez stb.",exact,noun
automata," pénz(érme) bedobására v. egyéb fizetőeszköz behelyezésére vmely szolgáltatást nyújtó, kül. vmely terméket (el)árusító készülék"," Önműködő készülék, gép(ezet), amely a belsejében levő szerkezet által mozog, hangot ad, vmely emberi tevékenységet utánoz, pótol, vmit kiszolgáltat, v. vmely (bonyolult) műveletet külső irányítás nélkül elvégez stb.",narrower,noun
automata," feladatát, munkáját gépiesen, érzelmek, ill. gondolkodás nélkül végző személy"," Tevékenységét gépiesen, lélek nélkül, mereven végző személy",exact,noun
automata," vmely műveletet v. műveletsort önműködően, közvetlen emberi beavatkozás nélkül végrehajtó <eszköz, berendezés>; automatikus"," A beléje szerelt gépi szerkezet révén, (emberi kiszolgálás nélkül), mozgó, működő <készülék, gép, rendszer>; önműködő, automatikus",exact,adjective
bázis," vmely építmény(rész)nek, oszlopnak, pillérnek, ritk. vmely tárgynak a tartó alapzata v. talapzata"," <Oszlopon v. pilléren> talp, talapzat",broader,noun
bázis," mértani test alaplapja, ill. síkidom alapvonala; alap", <Vmely idomon> alapvonal v. <vmely testen> alaplap,exact,noun
bázis," <területnek képzeletbeli háromszögekre bontásával végzett mérésében, az ún. háromszögelésben:> közvetlen méréssel fölvett (több kilométer hosszú) szakasz, amelyhez viszonyítva a háromszögoldal hosszát meghatározzák; alapvonal"," <A háromszögelésben> a háromszögnek az az oldala, melynek hosszúságát a lehető legnagyobb pontossággal közvetlenül megmérik; alapvonal",exact,noun
bázis," nagyobb haderők számára a hadműveletek kiindulási pontjául létesített, ill. a készletek felhalmozására, csapatok állomásoztatására szolgáló, katonailag megerősített hely; támaszpont"," Olyan terület, amelyről a hadműveletek kiindulnak, s ahonnan a hadsereg ellátását biztosítják; támaszpont",exact,noun
bázis," olyan matematikai részrendszer, amelyből bizonyos műveletekkel a teljes rendszer elemei (egyértelműen) előállíthatók, kifejezhetők", <Vmely logaritmusrendszerben v. (ritk.) vmely hatványban:> alap(szám),related,noun
bázis," olyan kémiai anyag, amely atomok, atomcsoportok összekapcsolódása során elektronpárt ad le, és amelynek vizes oldatában a negatív töltésű hidroxidionok koncentrációja meghaladja a pozitív töltésű hidrogénionokét, ezért az oldat kémhatása lúgos", Lúgos hatású vegyület; savakkal sókat alkot,exact,noun
bedob," vminek a belsejébe, mélyére, ill. vmely elkülönített területre dob, hajít vmit"," (Vhova) bedob: vminek a belsejébe, ill. vmely elkülönített helyre dob vmit, ritk. vkit",exact,verb
bedob," vmit hanyagul(, nagy lendülettel) vminek a belsejébe tesz, helyez"," Bedob (vmibe): hirtelen mozdulattal v. elhatározással, gyak. könnyelműen odadob, odaad vmit vmely célra",related,verb
bedob," <levelet, szavazólapot, pénzt stb.> nyíláson keresztül beejtve a megfelelő célú ládába helyez, hogy onnan majd rendeltetési helyére kerüljön"," (Vhova) bedob: vminek a belsejébe, ill. vmely elkülönített helyre dob vmit, ritk. vkit",narrower,verb
bedob, <ablakot> (rádobott kemény tárggyal) betör," Elhajított kemény, súlyos tárggyal kilyukaszt, összetör, betör vmit",exact,verb
bedob," <katonai egységet v. katonát> paranccsal hadba küld, vezényel"," <Csapatot, harci egységet> gyors elhatározással harcba küld, vet; bevet",exact,verb
bedob," <hírt, ill. témát, javaslatot stb.> terjesztés, ill. megvitatás céljából (váratlanul) felvet"," Bedob vhova: <hírt, ötletet, javaslatot> hirtelen, váratlanul felvet vkinek v. vmely közösségnek megvitatás v. terjesztés végett",exact,verb
bélyegző," jellegzetes, különösen jellemző v. vkit, vmit meghatározó"," Olyan <sajátság>, amely rányomja vmire a bélyegét (3); különösen jellemző, feltűnő, megkülönböztető, jellegzetes",exact,adjective
bélyegző," Pecsételésre, bélyegzésre való eszköz (nyoma)"," Eszköz, amellyel pecsétet v. bélyeget (2) ütnek, nyomnak vmire",broader,noun
bélyegző," iratokat, borítékokat stb. hitelesítő, azonosító pecsét, bélyeg nyomásához való(, gumi nyomófelületű) eszköz, ill. ennek lenyomata, nyoma"," Eszköz, amellyel pecsétet v. bélyeget (2) ütnek, nyomnak vmire",broader,noun
bélyegző," az a (fém) nyomóforma, amellyel tulajdonjegyet, hitelesítő jelet, mintát stb. ütnek vmely tárgyba, ill. ennek lenyomata, nyoma"," Eszköz, amellyel pecsétet v. bélyeget (2) ütnek, nyomnak vmire",broader,noun
bélyegző," <syn>bélyegzővas, ill. ennek lenyomata, nyoma"," Eszköz, amellyel pecsétet v. bélyeget (2) ütnek, nyomnak vmire",broader,noun
béna," betegség v. sérülés következtében mozgásra, működésre képtelen <testrész, szerv>"," Betegség v. sérülés következtében működésre, mozgásra képtelen <szerv, testrész>",exact,adjective
béna," olyan <ember, ritk. állat>, aki(nek) v. amely(nek egy v. több mozgásszerve, testrésze) mozgásra képtelen"," Olyan <ember>, akinek vmelyik mozgási szerve v. testrésze mozgásra képtelen",exact,adjective
béna," mozdulatlan, tespedt, cselekvésre képtelen <közösség, intézmény(rendszer), ill. állapot>"," Tehetetlen, dermedt, mozdulatlan",related,adjective
béna," (vmiben) ügyetlen(kedő), tehetetlen(kedő), nem rátermett"," Tehetetlen, dermedt, mozdulatlan",related,adjective
béna," olyan ember, aki(nek egy v. több mozgásszerve, testrésze) mozgásra képtelen", Béna személy,exact,noun
biz," Kijelentés megerősítésére, nyomatékosítására", <Érzelmileg színezett mondatokban:> bizony (I. 2–3),narrower,particle
biz," állításban v. tagadásban, gyakr. annak bevezetéseként", <Érzelmileg színezett mondatokban:> bizony (I. 2–3),narrower,particle
biz," kijelentéshez, kérdéshez kapcsolódó ellentétes v. eltérő jelentésű állításban v. tagadásban", <Érzelmileg színezett mondatokban:> bizony (I. 2–3),narrower,particle
biz," ráhagyás, egyetértés kif-ére, az előző mondat vmelyik szavának megismétlésével, ill. igenlést v. tagadást követően", <Érzelmileg színezett mondatokban:> bizony (I. 2–3),narrower,particle
biz," neheztelés, feddés, rosszallás enyhítésére", <Érzelmileg színezett mondatokban:> bizony (I. 2–3),narrower,particle
bizonyítvány," vmit bizonyító, tanúsító hivatalos igazolás, (ok)irat, ill. magánszemély által kiállított igazoló írás, pl. ajánlólevél, (átvételi) elismervény"," Általában vmely hatóság által kiállított hivatalos irat vmely tény, helyzet, állapot, munka, teljesítmény igazolására",exact,noun
bizonyítvány," tanulmányi eredményt, előmenetelt igazoló hivatalos iskolai irat, okmány, kisebb könyv, ill. az ebben rögzített tanulmányi eredmény"," Iskolai hatóság által kiállított hivatalos okmány vmely tanulmányi eredmény, előmenetel igazolására",exact,noun
bizonyítvány," szépítgetve, nem túlságosan meggyőzően igazolja, mentegeti eredményét, eljárását stb."," <rendsz. kisebb jelentőségű ügyben> szépítgetve, de kevéssé meggyőzően igazolja eljárását, mulasztását; mentegeti magát",exact,noun
bizonyítvány," vminek az igazolására szolgáló, vmit bizonyító tény, adat, érv, körülmény stb."," Bizonyság, tanúság, bizonyíték",narrower,noun
bizonyítvány," a vádlott bűnösségét, ritk. ártatlanságát bizonyító tény, adat, tárgy stb."," Bizonyság, tanúság, bizonyíték",narrower,noun
bizonyítvány," vminek meggyőző példája, tanújele"," Bizonyság, tanúság, bizonyíték",narrower,noun
blokk," (sorszámozott v. nyomtatott) lapokból, űrlapokból álló tömb", Üres v. gyak. sorszámozott v. nyomtatott (űr)lapokból álló tömb (2),exact,noun
blokk," tömbből v. pénztárgép által keskeny papírtekercsről leválasztott, fizetési nyugtaként szolgáló, a termék(ek), es. szolgáltatás árát rendsz. tételesen is feltüntető lap"," Nagyobb, keskeny papírtekercsből a pénztárgép által leválasztott 5–6 cm hosszú darab, amelyre a gép rányomja a vásárláskor fizetett összeget",exact,noun
blokk, <syn>bélyegblokk," Általában száz bélyeget tartalmazó összefüggő, perforált ív",broader,noun
