lemma,pos,sense_source,sense_target,semantic_relationship
vertrekken,verb,"I/|\(Iets) van zijn plaats trekken, wegtrekken. Zoowel ""trekkend"" verplaatsen als ""trekkend"" ergens uit verwijderen, met trekken in eig. zin, maar ook in toep. (vooral techn.), waar, evenals bij het grondwoord zelf, die oorspr. voorstelling niet noodzakelijk een rol meer speelt, maar de betr. handeling of werking nog wel met trekken wordt aangeduid. In bedr. gebr.",weggaan van de plaats waar men zich bevindt; een plaats verlaten,exact
vertrekken,verb,II/|\Wegtrekken met trekken in de bet. ‘gaan’ in uiteenloopende toep.,weggaan van de plaats waar men zich bevindt; een plaats verlaten,exact
vertrekken,verb,"II.3/|\Weggaan, heengaan, zich verwijderen, in den meest alg. zin.",weggaan van de plaats waar men zich bevindt; een plaats verlaten,exact
vertrekken,verb,II.4/|\(Voor korteren of langeren tijd) weggaan naar een op zekeren afstand gelegen bestemming; een reis aanvangen; afreizen.,aanvang maken met een verplaatsing; een reis aanvatten,exact
vertrekken,verb,"II.5/|\Voorgoed weggaan van zijn woon- of verblijfplaats, de menschen bij wie men verkeert, om zich elders te vestigen.",zich elders gaan vestigen; verhuizen,exact
vertrekken,verb,"II.7/|\(Onz.) (In aansl. bij de bet. 5) Weggaan (bij een werkgever, een patroon, uit een college, naar een andere standplaats e.d.); een dienstverband verlaten. Zoowel met als zonder de gedachte aan een locaal weggaan.","overgaan naar een ander milieu, een ander bedrijf, een andere werkkring e.d.",exact
alcohol,noun,"2/|\Product van herhaalde destillatie van wijn, fijne wijngeest. In de hedendaagsche scheikundige opvatting aethylalcohol, die uit allerlei grondstoffen door gisting bereid kan worden (CᴄHᴈO). De gewone bet.","heldere, kleurloze, brandbare vloeistof die o.a. een bestanddeel is van alcoholische dranken en die door distillatie of vergisting uit allerlei grondstoffen kan worden bereid; ethanol",exact
alcohol,noun,"3/|\Drank die de onder 2) genoemde stof bevat, geestrijke drank. Ook het gebruiken daarvan.",drank of dranken met alcohol; alcoholhoudende drank of dranken,exact
alcohol,noun,"4/|\In de scheikunde de algemeene naam voor de groep van organische stoffen waarvan de onder 2) genoemde de bekendste vertegenwoordigster is, thans ook wel alkanolen genoemd.",chemische verbinding waarin een hydroxylgroep is gebonden aan een verzadigd koolstofatoom,exact
ernst,noun,"2/|\Stemming tot plichtsbetrachting of overpeinzing; stemming die zich afkeert van oppervlakkigheid, lichtvaardigheid en spot of scherts.","serieuze stemming waarin iemand zich onthoudt van oppervlakkigheid, lichtvaardigheid, spot of scherts; ook: de blijk daarvan op iemands gezicht; serieusheid; seriositeit",exact
ernst,noun,"3/|\Iets dat men werkelijk meent, eene bedoeling die men niet slechts voorwendt.",iets wat men serieus neemt of moet nemen; iets wat serieus bedoeld is,exact
ernst,noun,"4/|\Iets dat men niet licht moet tellen, iets dat alle aandacht en inspanning vereischt.",iets wat men serieus neemt of moet nemen; iets wat serieus bedoeld is,exact
angstig,adjective,"I.I.1.a/|\Als attributieve of praedicatieve bepaling van een persoon. Angst gevoelende, door angst gekweld, beangst, bevreesd.",in angst verkerend; angst voelend,exact
angstig,adjective,"I.I.1.a/|\Als attributieve of praedicatieve bepaling van een persoon. Angst gevoelende, door angst gekweld, beangst, bevreesd.",een al dan niet beredeneerde vrees koesterend voor iets of iemand; ook: snel of in veel situaties angstig; geneigd tot angst; van nature angstig; bangelijk,narrower
angstig,adjective,"II.I/|\Op eene wijze die getuigt van den angst, die een persoon bezielt.",blijk gevend van angst of voortkomend uit angst,exact
angstig,adjective,II.II/|\Op eene wijze die angst of zorg verwekt.,waarbij of waarin angst of bezorgheid gevoeld wordt; ook: angstig of bezorgd makend; bang makend; angstaanjagend,exact
bang,adjective,"B.5/|\In angst verkeerende, ook als uitdrukking der meer verheven taal, in sterker opvatting dan onder 6) wordt bedoeld.",in angst verkerend; angst voelend,exact
bang,adjective,"B.6/|\Eene min of meer beredeneerde vrees voor iets hebbende, niet zelden in zeer zwakke opvatting.",een al dan niet beredeneerde vrees koesterend voor iets of iemand; ook: snel of in veel situaties angstig; geneigd tot bangheid; van nature angstig; bangelijk,exact
boos,adjective,"I.D/|\Vijandig gezind, kwaadwillig. Van personen of wat hen vertegenwoordigt.",met de intentie om iemand kwaad of schade te berokkenen; met slechte bedoelingen; boosaardig; gemeen; snood,exact
boos,adjective,"I.E/|\Van nature gezind tot het kwaad, zedelijk verdorven, zondig, goddeloos, snood, slecht. Eene beteekenis die soms samengaat met de bet. D); de twee begrippen: kwaadwillig (jegens iemand) en: slecht zijn hier nauw met elkander verbonden, evenals in goed (zie ald. I, I, 8 en 9), kwaad (verg. iemand kwaad doen met kwaad doen) en fr. méchant (dat met boos bovendien de bet. A en B) gemeen heeft).",geneigd tot boosheid; kwaadaardig; gemeen; boosaardig,exact
boos,adjective,"I.F/|\Toornig, verstoord, kwaad, t.w. in een bepaald geval, ten gevolge van eene beleediging, eene onaangename bejegening enz. (op iemand, over of om iets, of dat —); het omgekeerde van Goed (I), in de bet. I, I, 11). Meestal praedicatief. Deze beteekenis, ontstaan uit eene verzwakte opvatting der bet. D, 2), waarbij meer aan eene blijvende eigenschap of geneigdheid, als karaktertrek, werd gedacht, schijnt, te oordeelen naar de boven, bij D, 2) en hieronder aangehaalde voorbeelden, eerst laat (uit de Hollandsche volkstaal?) te zijn doorgedrongen in de algemeene Noordnederlandsche spreektaal, waar zij thans de gewone is. Ook in het Nhd. schijnt zij niet ouder dan de 18de eeuw te zijn.","in een slechte stemming verkerend, waarin men anderen verwijten maakt; kwaad",exact
boos,adjective,I.F.2/|\Overdrachtelijk. Van eene stemming of uitingen daarvan. Voortkomende uit of blijk gevende van verstoordheid.,waaruit blijkt dat iemand boos is; blijk gevend van boosheid,exact
boos,adjective,"II.A.2/|\Op vijandige, kwaadwillige —, veelal: op lasterlijke wijze. Verg. boven, I, D).",met de intentie om iemand kwaad of schade te berokkenen; met slechte bedoelingen; boosaardig; gemeen; snood,exact
boos,adjective,"II.A.3/|\Op snoode, goddelooze wijze. Verg. boven, I, E).",geneigd tot boosheid; kwaadaardig; gemeen; boosaardig,exact
boos,adjective,"II.A.4/|\Op eene wijze die blijk geeft van toorn, verstoordheid. Verg. boven, I, F).","in een slechte stemming verkerend, waarin men anderen verwijten maakt; kwaad",exact
ambassade,noun,"2.a/|\De gezamenlijke personen, tot een gezantschap behoorende; de gezant met zijne raden, secretarissen en verdere beambten.",formele vertegenwoordiging van een staat in een andere staat; formele diplomatieke vertegenwoordiging in het buitenland,exact
ambassade,noun,"2.b/|\Het gebouw in eene hoofd- of hofstad, waarin het gezantschap van een vreemden vorst of staat is gevestigd; de woning van den gezant met de bureelen tot zijne zending behoorende.",gebouw waarin een ambassade is gevestigd; ambassadegebouw,exact
koorts,noun,"1/|\Pathologische wijziging der warmteregulatie, die … gekenmerkt is door een typische verhooging der lichaamstemperatuur","verhoging van de lichaamstemperatuur boven de 38 graden bij ziekte of ontsteking, vaak gepaard gaand met koude rillingen, zweten, algeheel ziek-zijn, vermoeidheid, versnelde polsslag en ademhaling",exact
koorts,noun,"3.a/|\Gebezigd ter aanduiding van een innerlijken toestand van onrust, opwinding, gejaagdheid.","toestand van innerlijke opwinding en onrust, vaak als symptoom van begeerte, streven of verwachting",exact
centreren,verb,)/|\Het middelpunt of de as bepalen of aanbrengen; van een middelpunt of as voorzien; zuiver vormen rond een middelpunt.,iets in het midden plaatsen,exact
centreren,verb,).b.α/|\(Microscopie e.d.) Zoodanig instellen dat de as van den kijker samenvalt met het midden van het waar te nemen object of met de mechanische as. M. betr. t. lenzen en kijkers.,een object in het midden van het beeldveld van een kijker vatten,exact
centreren,verb,).b.ε/|\(Drukk.) Zoodanig opmaken dat het midden (van den regel of het tekstblok) op de verticale as van de bladzijde valt.,tekst in het midden van de regel plaatsen,exact
verbranding,noun,2/|\Het door vuur of hitte beschadigen of beschadigd worden.,"het door vuur, hitte, zonnebrand of inwerking van bijtende stoffen beschadigen of beschadigd worden van de huid of een ander orgaan van personen of dieren; verwonding door verbranden; ook concreet: brandwond",related
verbranding,noun,"2.a/|\M. betr. t. gewas: verschroeiing, verdorring (door de zon).",het verschroeien of verdorren van gewassen of delen daarvan door de zon of inwerking van bijtende stoffen; verschroeiing of verdorring; ook concreet: brandplek,exact
verbranding,noun,"2.b/|\M. betr. t. deelen van het lichaam: het door vuur of hitte wonden, verwonding door vuur of hitte; (concr.) brandwond(en), brandplek aan het lichaam.","het door vuur, hitte, zonnebrand of inwerking van bijtende stoffen beschadigen of beschadigd worden van de huid of een ander orgaan van personen of dieren; verwonding door verbranden; ook concreet: brandwond",narrower
verbranding,noun,"3.a/|\Verbinding van een brandbare stof met een andere, inz. zuurstof, onder ontwikkeling van warmte en licht; vereeniging van zuurstof met andere elementen, oxydatie met vuurverschijnselen.","chemisch proces tussen een brandstof en een oxidator (meestal zuurstofgas), waarbij door middel van een ontstekingsbron warmte en licht ontstaat onder de vorm van een vlam of een gloed; chemisch proces van het verbranden",exact
verbranding,noun,"3.b/|\Vandaar ook in toep. op niet met lichtontwikkeling gepaard gaande verbindingen met zuurstof, bep. m. betr. t. de stofwisseling van mensch en dier: door de ademhaling veroorzaakte en onderhouden oxydatie van organische stoffen in het menschelijk en dierlijk lichaam, waardoor de noodzakelijke energie ontwikkeld wordt.","het verbranden van voedingsstoffen als glucose, koolhydraten, vetten en eiwitten door een reactie met zuurstof in de lichaamscellen, waarbij er energie en warmte vrijkomt om het lichaam te laten functioneren; biologische oxidatie van (voedings)stoffen in de lichaamscellen; dissimilatie; celademhaling",exact
angst,noun,"II.2/|\Met betrekking tot geest en gemoed. Het gevoel van benauwdheid, van beklemming en vrees, veroorzaakt door een — wezenlijk of vermeend — onheil of gevaar, waardoor men bedreigd wordt.","gevoel van intense verontrusting dat wordt veroorzaakt door de dreiging van een extern gevaar of door een neurose en vaak gepaard gaat met verschijnselen als beven, transpireren of, bij extremere gewaarwording, ook hartkloppingen, een verstoring van het gezichtsvermogen of van het vermogen tot handelen",exact
appel,noun,"I.1.a/|\Eigenlijk. De bekende vrucht van den Appelboom (zie ald.), die in onze boomgaarden en hoven in honderden verscheidenheden gekweekt, hetzij uit de hand, hetzij voor de tafel toebereid, gegeten wordt.","ronde vrucht van de appelboom, met een rode, groene of gele schil, stevig vruchtvlees en een klokhuis",exact
appel,noun,"I.1.b/|\Bij uitbreiding, in gemeenzamen stijl. De boom zelf, waaraan de appelen groeien; de appelboom.",boom uit de rozenfamilie waaraan appels groeien; appelboom,exact
appel,noun,"I.2/|\Naar de ruimere opvatting, die wel denkelijk de oorspronkelijke is geweest, en waarvan de bovengenoemde beteekenis slechts de meer bepaalde toepassing was, werd appel gezegd van een aantal andere vleezige of ronde, min of meer gelijkvormige vruchten, en zelfs van ronde voorwerpen, als uitwassen op boomen groeiende.","min of meer ronde vrucht of rond deel van een andere plant of boom dan de appelboom, bijvoorbeeld een dennenappel, granaatappel, sinaasappel; ook: min of meer ronde uitwas aan een boom, bijvoorbeeld een galappel",exact
appel,noun,"II.1/|\De appel van het oog. De oogbol; ook gezegd van de pupil, de beweeglijke opening in het midden van het regenboogvlies, waardoor de lichtstralen in het binnenste van het oog dringen.","het ronde, gekleurde deel van het oog, waarin zich de pupil bevindt; oogappel; iris; regenboogvlies; ook: pupil",exact
appel,noun,"II.3/|\De appel als kenteeken van het vorstelijk gezag. De gouden bol, dien de Romeinsche Keizers sedert CARACALLA, en vooral de Byzantijnsche Keizers, zooals zij op hunne munten zijn afgebeeld, in de hand dragen, die zinnebeeldig het wereldrond (touh08 koh03smou toh04u kuh03klon) voorstelde en hen als wereldbeheerschers (orbis terrarum domini) kennen deed. Sedert de aanneming van het Christendom met het kruis gedekt, ook wel met kroon en kruis getooid, en later niet alleen door de Keizers van het Duitsche Rijk, maar ook door verschillende Koningen overgenomen als zinnebeeld der vorstelijke macht. Zie DU CANGE, Diss. de Imper. Const. numism. (in Gloss. vol. 7), p. 157 sq., en verg. RIJKSAPPEL.","gouden bol met daarop een kruis, als symbool van de vorstelijke macht of van de wereldheerschappij; rijksappel",exact
appel,noun,"1/|\In het rechtswezen. Het beroep op een hoogeren rechter. Voorheen algemeen in gebruik en thans nog in de spreektaal de meest gewone uitdrukking, ofschoon in onze Wetboeken niet meer gebezigd en vervangen door hooger beroep. Alleen, waar in wetten of reglementen op vroegere toestanden gedoeld, of eene voormalige bepaling als 't ware bevestigd werd, is de oude naam appèl nog gebruikt. In de laatste jaren echter is in verschillende bijzondere wetten, door onachtzaamheid van den wetgever, het vroeger verbannen vreemde woord weder toegelaten.",het zich wenden tot een hogere rechtsinstantie om herziening te vragen van een vonnis of beschikking; hoger beroep,exact
appel,noun,"2.a/|\Het sein tot verzameling der troepen, door trompet of trom gegeven.",oproep tot verzameling,exact
appel,noun,4/|\In 't algemeen. Een oproep of uitnoodiging tot eenige handeling. Vooral in de uitdrukking:,dringende oproep of uitnodiging tot iets; dringend verzoek,exact
appel,noun,"6/|\Als jachtterm, in de uitdrukking:",het terugroepen of terugfluiten van een (jacht)hond,exact
trots,noun,"3/|\Groot gevoel van eigenwaarde, zich uitend in de behoefte niet toe te geven, zich niet ondergeschikt te maken; fierheid. In de derde aanh. bepaaldelijk: zielskracht.",groot gevoel van eigenwaarde tot uitdrukking komend in de behoefte niet toe te geven of zich niet ondergeschikt te maken; zelfbewustzijn; fierheid,exact
trots,noun,"9/|\Gevoel van bewondering en voldoening wegens eigen verdienste, bezit of situatie, of die van een ander, waarbij men zich betrokken voelt.","gevoel van bewondering en voldoening wegens eigen verdienste, bezit of situatie, of die van iemand anders waarbij men zich betrokken voelt; fierheid",exact
trots,noun,10/|\(Meton.) Persoon of zaak die de aanleiding vormt voor het onder 9) genoemde gevoel.,iemand of iets waarop men trots is; pronkstuk,exact
trots,adjective,"1/|\Vervuld van een groot gevoel van eigenwaarde, tot uitdrukking komend in de behoefte niet toe te geven, zich niet ondergeschikt te maken; fier, zelfbewust, stoutmoedig.",vervuld van een groot gevoel van eigenwaarde tot uitdrukking komend in zijn houding of in de behoefte niet toe te geven of zich niet ondergeschikt te maken; zelfbewust; fier; in meer negatieve zin ook: vervuld van een gevoel dat men meer is dan anderen; hooghartig,exact
trots,adjective,"1.b/|\Meton. Gezegd van datgene wat uiting geeft aan, of een blijk vormt van de trots van iemand of een groep van personen, resp. van datgene wat den aanschouwer met trots vervult.",van of als van iemand die trots is,exact
trots,adjective,1.c.β/|\Gezegd van natuurlijke formaties zooveel als: indrukwekkend. Verg. hierna onder 2).,zich hoog en fier verheffend; indrukwekkend; statig,exact
trots,adjective,"1.c.γ/|\Gezegd van datgene wat door menschen vervaardigd, gebouwd of tot stand gebracht is. Indrukwekkend, statig, grootsch, rijk.",zich hoog en fier verheffend; indrukwekkend; statig,exact
trots,adjective,"4/|\Bewondering en voldoening gevoelend wegens eigen verdienste, bezit of situatie, of die van een ander, waarbij men zich betrokken gevoelt.","bewondering en voldoening voelend wegens eigen verdienste, bezit of situatie, of die van iemand anders waarbij men zich betrokken voelt; fier",exact
atleet,noun,2/|\In nieuwere opvatting: beoefenaar der athletiek.,iemand die atletiek beoefent; iemand die een atletische sport beoefent,exact
atleet,noun,"3/|\Oneig. Man van zeer krachtigen lichaamsbouw, van groote spierkracht.",iemand met de lichaamsbouw van een atleet; iemand met een atletische lichaamsbouw,exact
afschuwelijk,adjective,"I.1/|\Eigenlijk. Afschuw verwekkende, hevigen afkeer of afschrik inboezemende, in hoogen graad verschrikkelijk of verfoeilijk; hetzij door eene afzichtelijke gedaante, hetzij door hoedanigheden, die het zedelijk gevoel zeer onaangenaam aandoen. In de ruimste toepassing van allerlei stoffelijke en onstoffelijke dingen gezegd.",afschuw opwekkend; hevige afkeer of angst inboezemend; in hoge mate verschrikkelijk,exact
afschuwelijk,adjective,"I.2/|\Overdrachtelijk, bij schertsende overdrijving. Uitermate slecht of leelijk, verfoeilijk om te zien, te hooren enz., zóó terugstootend dat men er als 't ware een afschuw van gevoelt.",verschrikkelijk lelijk,exact
afschuwelijk,adjective,"II.1/|\Eigenlijk. Op eene afschuwelijke, verfoeilijke wijze; of, in ontzettende mate, en, in het laatste geval, evenals verschrikkelijk, vreeselijk enz. in de gemeenzame spreektaal niet zelden gebezigd als een krachtig versterkingswoord. Verg. Afgrijselijk, bijw., 2).",afschuw opwekkend; hevige afkeer of angst inboezemend; in hoge mate verschrikkelijk,exact
afschuwelijk,adjective,"II.2/|\Overdrachtelijk. Op eene uitermate leelijke wijze, zóó dat het gezicht of gehoor alleronaangenaamst aangedaan wordt.",verschrikkelijk lelijk,exact
berg,noun,1/|\Eigenlijk. Gedeelte van de oppervlakte der aarde dat zich hoog verheft.,"sterke verhoging in het landschap, die zich duidelijk aftekent tegen de omgeving en die over het algemeen hoger en steiler is dan een heuvel",exact
berg,noun,1.a/|\In den meer collectieven zin van gebergte; als zoodanig zeldzaam.,bergachtig gebied; bergachtig landschap; bergland,exact
berg,noun,"1.b/|\Opgevat als eene min of meer op zich zelf staande verheffing, waarbij dan het mv. bergen soms de collectieve beteekenis van gebergte heeft.",verhoging in een vlak of glooiend landschap; heuvel,exact
berg,noun,4/|\In toepassing op allerlei zaken: groote hoop.,grote hoeveelheid; hoop; stapel,exact
broer,noun,"1/|\Eig. Iemand van het manlijk geslacht, beschouwd in de betrekking zijner bloedverwantschap tot de overige kinderen van denzelfden vader en dezelfde moeder of althans van een van beiden.","man of jongen met dezelfde ouders als diegene met wie hij in verband gebracht wordt, of mogelijk ook alleen dezelfde vader of; ook: man of jongen die geadopteerd is in hetzelfde gezin als diegene met wie hij in verband gebracht wordt",exact
broer,noun,"2/|\Bij uitbreiding der bet. 1) gebezigd in oneigenlijke toepassingen op personen, die tot hetzelfde geslacht of ras behooren, bloed- of stamverwant, en dus door een natuurlijken band verbonden zijn, ter uitdrukking der min of meer nauwe betrekking waarin dezen tot elkander staan.",man of jongen met wie men een dermate hechte vriendschapsband heeft dat men hem als een broer behandelt,exact
broer,noun,"2.e/|\Zelfs in (schertsende) toepassing op de onderlinge betrekking tusschen dieren, als ras- of natuurgenooten.",mannelijk dier dat de moeder of de beide ouders gemeen heeft met een ander dier dat ermee in verband gebracht wordt,exact
broer,noun,7/|\In schertsende toepassing op zaken die bijeenbehooren of althans vereenigd zijn. Zie ook BROEDERTJE.,zaak die een grote gelijkenis vertoont met een andere zaak waarmee ze in verband wordt gebracht; vergelijkbare zaak,exact
herberg,noun,1/|\Naar de eigenlijke opvatting. Verblijf voor reizigers of vreemdelingen en hun gezelschap.,"horecabedrijf waar men kan eten, drinken en eventueel overnachten en dat in zijn typische vorm gevestigd is in een oud gebouw met een antiek uitziend interieur, dat buiten de steden gelegen is en dat al een lange traditie als gastenverblijf achter zich heeft",exact
herberg,noun,1.b/|\Reeds vroeg (VERDAM vermeldt eene plaats uit 1461) toegepast op een huis waar den komenden en den gaanden man voor geld getapt en geschaft wordt: tapperij; kroeg.,"horecabedrijf waar drank, vooral bier en gedistilleerd geschonken wordt; café; kroeg",exact
dood,noun,"1/|\De toestand die intreedt, wanneer het leven ophoudt; het intreden van dezen toestand.","toestand die intreedt, wanneer het leven ophoudt",exact
dood,adjective,A.1/|\Niet meer levend.,niet levend,exact
poffen,verb,"I.2/|\Vandaar ook voor vallen, neerploffen.",het doffe geluid maken van bv. een slag of van iets wat valt; ploffen,exact
poffen,verb,"II.2/|\Blazen, met den mond een blazend geluid maken.",opbollen,related
poffen,verb,"II.7/|\Met een knal of een pof openspringen, blazende geluiden van zich geven, gezegd van iets dat in of op het vuur verhit wordt of staat te koken.",met een ploffend geluid openspringen; ploffen,exact
poffen,verb,"II.8/|\Vervolgens ook bedr. voor: doen ontploffen, braden in heete asch, gezegd van boonen, erwten, kastanjes, aardappelen enz. Bekend in allerlei dialecten: in het oosten en het westen des lands en tevens in Vl. België. Ook in de algemeene taal vaak gebezigd.","aardappels, kastanjes e.d. laten ploffen en garen in hete as, boven een vuur of op een hete plaat",exact
poffen,verb,"1/|\Op krediet koopen. Vooral in zuidelijke dialecten bekend; zie b.v. HOEUFFT, Bred. T. 470; JONGENEEL; CORN.-VERVL.; TEIRL., doch ook een opgave voor N.-Holl. (BOUMAN).",op krediet kopen,exact
periode,noun,"I.1/|\In de tijdrekenkunde. Een kring of reeks van jaren, na afloop waarvan dezelfde verschijnselen in dezelfde volgorde terugkeeren, tijdkring, cyclus; ook: een reeks van zulke tijdkringen.","kort of lang durend deel van de tijd met een al dan niet nader bepaald begin en einde, dat men als een eenheid beschouwt om zijn specifieke karakter, een typerend verschijnsel of een daarbinnen vallend kenmerkend gebeuren; tijdsruimte met een kenmerkende eenheid",exact
periode,noun,"I.2/|\In de sterrenkunde. De omloopstijd van een hemellichaam, de tijd welken een planeet of haar satelliet noodig heeft om zijn loop te volbrengen.","deel van de tijd met een langere, vaak in jaren uitgedrukte duur die een telkens terugkerend verschijnsel van hemellichamen nodig heeft om zich eenmaal volgens een vast patroon te voltrekken; tijdruimte waarna dezelfde verschijnselen aan de hemel zich opnieuw voordoen in dezelfde volgorde; astronomische cyclus",exact
periode,noun,"I.2/|\In de sterrenkunde. De omloopstijd van een hemellichaam, de tijd welken een planeet of haar satelliet noodig heeft om zijn loop te volbrengen.",deel van de tijd waarin een planeet of haar satelliet een baan rond een hemellichaam volbrengt; omlooptijd rond een hemellichaam,exact
periode,noun,I.3/|\In de natuurkunde enz. De tijdruimte die ligt tusschen het terugkeeren van bepaalde verschijnselen of de tijd die voor een zich herhalend verschijnsel noodig is.,"deel van de tijd met een zeer korte duur die een telkens terugkerend, hoogfrequent natuurkundig verschijnsel zoals een stroomimpuls of trilling nodig heeft om zich eenmaal volgens een vast patroon te voltrekken; tijdsruimte waarna een hoogfrequent verschijnsel in de fysica zich opnieuw voordoet volgens hetzelfde patroon",exact
periode,noun,"I.5/|\Als benaming voor de maandstonden, de maandelijksche zuivering van volwassen vrouwen. Evenzoo in het Hd. en Eng.",deel van de maand waarin een vrouw ongesteld is; menstruatieperiode,exact
periode,noun,"II.1/|\Een tijdperk van de geschiedenis, dat onderscheiden en gekenmerkt wordt door dezelfde bijzondere trekken of toestanden en daarom als een geheel beschouwd wordt.","deel van de tijd met een korte dan wel lange duur dat men in een geschiedkundige indeling als een eenheid beschouwt op grond van kenmerkende ontwikkelingen, gebeurtenissen of gedachtegoed; tijdsruimte die men in historisch opzicht als een eenheid beschouwt",exact
periode,noun,II.2/|\In de aardkunde. Een der groote tijdperken waarin de tijd van het bestaan der aarde verdeeld wordt.,elk van de tijdsruimtes waarin men de 4 hoofdtijdperken van de geologische tijdsschaal onderverdeelt,exact
periode,noun,"II.3/|\Een afgesloten of duidelijk gekenmerkt tijdperk in het leven of de ontwikkeling van een persoon of een groep van personen, van de maatschappij enz.",deel van de tijd in iemands leven dat zich door bepaalde leeftijdskenmerken onderscheidt; levensfase,exact
periode,noun,"II.3/|\Een afgesloten of duidelijk gekenmerkt tijdperk in het leven of de ontwikkeling van een persoon of een groep van personen, van de maatschappij enz.",deel van de tijd in iemands leven dat zich door bepaalde leeftijdskenmerken onderscheidt; levensfase,exact
periode,noun,"III.1/|\In de grammatica. Eene reeks van grammatisch met elkaar verbonden zinnen die te zamen een afgerond geheel vormen, een uit verschillende deelen samengestelde volledige zin.","breed uitgewerkte volzin waarvan de samenstellende delen zoals voorzinnen, tussenzinnen en/of nazinnen een harmonisch geheel vormen; harmonisch geformuleerde volzin",exact
periode,noun,"III.2/|\In de muziek. Volzin, bestaande uit vóóren nazin.",muzikale volzin die bestaat uit deelfrasen die men onderscheidt in voorzinnen en nazinnen; samengestelde muzikale volzin,exact
gerecht,noun,"1)/|\De stam van het zw. ww. Gerichten, gerechten, in den zin van aanrechten (verg. GERECHTEN), in de concrete opvatting van: datgene wat wordt aangerecht. Oorspronkelijk in de meer algemeene opvatting, waarin het o.a. nog door VONDEL (VONDEL 6, 449 [1653]) wordt gebezigd, t.w. in: ”O Jongeling, Persiaensche gerechten haet ick”, ter vertaling van: ”Persicos odi, puer, apparatus”, waar de dichter niet alleen spijzen bedoelt, maar in 't algemeen al wat tot het aanrechten en houden van een maaltijd noodig is, hier met name ook kransen. Later evenwel uitsluitend gebezigd voor: Alle spijs die te gelijk wordt opgedischt, hetzij uit één of uit meerdere schotels bestaande; lat. ferculum; hd. ein Gang.",bereid voedsel dat in een keer en meestal in een schotel of pan opgediend wordt en dat doorgaans deel uitmaakt van een maaltijd,exact
gerecht,noun,B/|\Naar de thans nog uitsluitend gebruikelijke opvatting: Rechtsprekend lichaam.,rechtsprekende instantie; rechtbank,exact
gerecht,noun,"B.2.b/|\Met betrekking tot den tegenwoordigen tijd. Het rechtsprekend lichaam, hetzij met inbegrip van de vertegenwoordigers van het publiek gezag, hetzij meer in 't bijzonder de voorzitter met een bepaald getal rechters, die rechtspreken, hetzij die leden van het college, welke noodig zijn tot het verrichten van eene bepaalde handeling binnen zijne bevoegdheid.","de rechterlijke macht en het geheel van rechters, officieren van justitie en andere rechterlijke ambtenaren; justitie",exact
gerecht,noun,"B.2.b/|\Met betrekking tot den tegenwoordigen tijd. Het rechtsprekend lichaam, hetzij met inbegrip van de vertegenwoordigers van het publiek gezag, hetzij meer in 't bijzonder de voorzitter met een bepaald getal rechters, die rechtspreken, hetzij die leden van het college, welke noodig zijn tot het verrichten van eene bepaalde handeling binnen zijne bevoegdheid.",personen die bij de rechtbank werkzaam zijn,exact
gerecht,adjective,"A/|\Eigenlijk. Van zaken. Recht, niet krom; als benaming van eene richting. Thans verouderd.",recht gemaakt; niet krom,exact
