lemma,pos,semantic_relationship,sense_source,sense_target
artist,noun,narrower,a skilled performer,a person who paints pictures or is a sculptor or is skilled at one of the other arts
ashamed,adjective,narrower,guilty and embarrassed about doing sth bad,feeling shame
ashamed,adjective,related,ashamed of,feeling shame
aside,adverb,narrower,to the side,on or to one side
ask,verb,exact,to make a request,to express a wish to someone for something
ask,verb,broader,to say sth to get information,to put a question
ask,verb,related,to expect sb to do sth,to express a wish to someone for something
ask,verb,narrower,to invite sb to go somewhere,to invite
ass,noun,exact,a donkey,a donkey.
assemble,verb,broader,to gather in a group,(of people) to come together
assemble,verb,narrower,to put pieces together,to call or bring together
assert,verb,related,to behave confidently,to insist on
assert,verb,related,to state that sth is true,to say definitely
asset,noun,narrower,things of value owned by sb,anything useful or valuable; an advantage
asset,noun,narrower,sb or sth that brings advantages,anything useful or valuable; an advantage
assign,verb,narrower,to give a job or a duty,to give to someone as his share or duty
association,noun,related,an organization,a friendship or partnership
association,noun,related,a connection or relationship,a friendship or partnership
association,noun,related,in association with,a friendship or partnership
assume,verb,exact,to suppose sth is true,to take or accept as true
assure,verb,related,to give a promise or guarantee,to tell positively
assure,verb,broader,to make certain,to make (someone) sure
astronomical,adjective,broader,extremely high,(of numbers or amounts) very large
astronomical,adjective,exact,"relating to the study of stars, planets, etc.",of astronomy
at,preposition,exact,indicates time,showing time
at,preposition,exact,indicates position,showing position
at,preposition,exact,indicates direction,showing direction
at,preposition,broader,indicates state,showing a state or occupation
atmosphere,noun,narrower,the mood of a place,any surrounding feeling
atmosphere,noun,exact,the air around the earth,the air surrounding the earth
attach,verb,exact,to fasten to or join together,to fasten or join
attract,verb,related,to cause to come to a place,to cause (someone or something) to come towards
attract,verb,related,to cause a reaction,to arouse (someone's) liking or interest
attract,verb,exact,to make sb interested,to arouse (someone's) liking or interest
attract,verb,exact,to cause to move toward,to cause (someone or something) to come towards
authentic,adjective,narrower,proven to be real,"true, real or genuine"
authentic,adjective,narrower,based on facts or actual methods,"true, real or genuine"
authority,noun,narrower,official power,the power or right to do something
authority,noun,related,confidence and the appearance of control,a natural quality in a person which makes him able to control and influence people
authority,noun,narrower,an expert in a subject,"a person who is an expert, or a book that can be referred to, on a particular subject"
automatic,adjective,related,able to work by itself,always happening because of a rule or system
automatic,adjective,exact,happening as part of a process or routine,always happening because of a rule or system
automatic,adjective,narrower,done as a result of instinct,(of an action) without thinking
available,adjective,broader,able to be used or obtained,able or ready to be used
available,adjective,narrower,not busy,able or ready to be used
avenue,noun,related,a wide road,"a road, often with trees along either side."
avoid,verb,exact,to stay away from,"to keep away from (a place, person or thing)"
await,verb,exact,to wait for sth,to wait for
aware,adjective,narrower,knowing about,knowing; informed; conscious (of)
aware,adjective,related,concerned about,knowing; informed; conscious (of)
off,preposition,narrower,away from and no longer touching,away from; down from
off,preposition,narrower,in a position away from,away from; down from
off,preposition,exact,not inside a large vehicle used by the public,"out of (a vehicle, train etc)"
off,preposition,exact,not eating or taking,not wanting or allowed to have (food etc)
off,adverb,narrower,away from a place,"away (from a place, time etc)"
off,adverb,broader,removed or separated from,"out of a vehicle, train etc"
off,adverb,broader,not at work or school,not at work
off,adverb,narrower,indicates how far sth is in time or distance,"away (from a place, time etc)"
off,adverb,exact,no longer going to happen,cancelled
off,adverb,narrower,not correct or exact,"not as good as usual, or as it should be"
off,adverb,exact,not switched on or connected to a supply,not working; not giving power etc
offend,verb,exact,to upset or make sb angry by saying or doing sth they do not approve of,to make feel upset or angry
offensive,adjective,exact,unpleasant and causing upset or anger,insulting
offensive,adjective,exact,intended for attacking,used to attack
offer,verb,exact,to ask sb if they want sth,"to put forward (a gift, suggestion etc) for acceptance or refusal"
offer,verb,exact,to say you are willing to do sth,to say that one is willing
offer,verb,narrower,to state you are willing to pay a particular amount of money,to say that one is willing
offer,verb,narrower,to provide sth for people to buy,"to put forward (a gift, suggestion etc) for acceptance or refusal"
offer,noun,exact,the act of asking sb if they want sth,an act of offering
offer,noun,exact,a proposal to pay a particular amount of money,an offering of money as the price of something
offer,noun,related,a lower price than usual,an offering of money as the price of something
offer,noun,related,being sold at a lower price than usual,an offering of money as the price of something
offer,noun,related,being sold at a lower price than usual,an offering of money as the price of something
offhand,adverb,exact,"immediately, without taking time to find out",without thinking about something first
offhand,adjective,exact,rude and not sensitive to how others may feel,acting or speaking so casually that one is being rude
officer,adjective,exact,a senior member of the armed forces,"a person holding a commission in the army, navy or air force"
officer,adjective,narrower,a police officer,a person who carries out a public duty
official,adjective,exact,authorized or allowed by an organization or person with authority,done or confirmed by people in authority etc
official,adjective,narrower,relating to the things connected with sb's job,of or concerning a position of authority
official,adjective,related,indicates a piece of information has been confirmed to the public,done or confirmed by people in authority etc
official,noun,exact,sb representing an organization at a high level,a person who holds a position of authority
offline,adjective,narrower,"not connected to a computer, or not connected to the Internet","using a computer, but not connected to the Internet"
offshore,adjective,exact,"in the ocean, near the coast","in or on the sea, not far from the coast"
often,adverb,exact,frequently or many times,many times
often,adverb,broader,usually or commonly,many times
oh,interjection,exact,"indicates surprise, disappointment, sympathy, etc.","an expression of surprise, admiration etc"
oil,noun,narrower,a thick liquid substance taken from plants or animals and used in cooking,"a usually thick liquid that will not mix with water, obtained from plants, animals and minerals"
oil,noun,narrower,a thick black liquid taken from under the ground,"a usually thick liquid that will not mix with water, obtained from plants, animals and minerals"
oil,verb,exact,to put oil on sth,to put oil on or into
omit,verb,exact,to not include,to leave out
omit,verb,related,to forget to,not to do
on,adverb,exact,indicates sth continues,"used to show a continuing state etc, onwards"
on,adverb,exact,indicates sth is being worn,"(especially of something being worn) so as to be touching, fixed to, covering etc the upper or outer side of"
on,adverb,exact,"(of a machine) operating, not turned off","(also adjective) (of electric light, machines etc) working"
on,adverb,exact,into a large vehicle used by the public,"(also adjective) in or into a vehicle, train etc"
on,adverb,related,happening,"used to show a continuing state etc, onwards"
on,adverb,related,continuing forward,"used to show a continuing state etc, onwards"
once,adverb,exact,one time,a single time
once,adverb,exact,at a time in the past,at a time in the past
once,conjunction,exact,as soon as,when; as soon as
one,pronoun,exact,indicates a particular person or thing that has been mentioned,a single person or thing
one,pronoun,exact,indicates people in general,anyone; any person
one-sided,adjective,exact,"(of a competition, war, etc.) unfair because one team or player is much better",with one person or side having a great advantage over the other
one-sided,adjective,exact,"(of a discussion, argument, etc.) unfair because only one point of view is given",representing only one aspect of a subject
one-way,adjective,exact,(of a road) for vehicles traveling in one direction only,in which traffic can move in one direction only
one-way,adjective,exact,(of a ticket) for travel to somewhere but not back again,(especially American) valid for travel in one direction only
only,adverb,exact,not more than,not more than
only,adverb,related,"nothing, nowhere, or no one else",alone
only,adverb,exact,indicates sth happened recently,not longer ago than
only,adjective,exact,not having any other things or people of the same kind,without any others of the same type
only,conjunction,narrower,indicates the statement just made is not completely true,"except that, but"
onward,adverb,narrower,"continuing from a particular time, date, etc.",moving forward (in place or time)
onward,adverb,narrower,continuing in a forward direction,moving forward (in place or time)
opaque,adjective,narrower,not able to be seen through,not transparent
opaque,adjective,narrower,not having a clearly understood meaning,not transparent
open,adjective,exact,not closed,"not shut, allowing entry or exit"
open,adjective,exact,"(of a store, business, etc.) available for business or to provide service",ready for business etc
open,adjective,related,available for use,"not shut, allowing entry or exit"
open,adjective,exact,"(of an area) having no buildings, trees, etc.","empty, with no trees, buildings etc"
open,adjective,exact,honest and willing to talk,frank
open,adjective,related,able to be affected,still being considered etc
open,adjective,related,"(of feelings) obvious, not hidden",frank
open,adjective,exact,(of a decision) not yet made,still being considered etc
open,adjective,related,"(of an event, place, etc.) available to anyone","not shut, allowing entry or exit"
open,verb,exact,to move or make move in order to be open,to make or become open
open,verb,narrower,"to start doing business or providing a service each day, or make sth start doing this",to begin
open,verb,narrower,"to start doing business for the first time, or make sth start doing this",to begin
open,verb,narrower,"to start being available for use, or to make available",to begin
office,noun,broader,a building people work in,the room or building in which the business of a firm is done
office,noun,broader,a building people work in,the room in which a particular person works
office,noun,narrower,a building people work in,a room or building used for a particular purpose
office,noun,broader,an official position or job,"a position of authority, especially in or as a government"
oily,adjective,narrower,"covered in or containing oil, often in an unpleasant way","of, like or covered with oil"
old,adjective,exact,not young,advanced in age
old,adjective,exact,indicates the age of sb or sth,having a certain age
old,adjective,exact,not new,having existed for a long time
old,adjective,related,not new,no longer useful
old,adjective,exact,previous or from the past,belonging to times long ago
olive,noun,exact,"a small green or black Mediterranean fruit, eaten or used to make oil",a type of edible fruit which is used as a garnish etc and which gives oil used for cooking
olive,noun,related,"a small green or black Mediterranean fruit, eaten or used to make oil",the tree on which it grows
olive,noun,exact,a yellowish green color,(alsoolive-green) the brownish-green or yellowish-green colour/color of the fruit
olive,noun,related,"a small green or black Mediterranean fruit, eaten or used to make oil",(alsoolive-wood) the wood of the tree.
omission,noun,exact,sb or sth that has not been included,something that has been left out
omission,noun,related,sb or sth that has not been included,the act of omitting
on,preposition,exact,touching the surface of sth,"touching, fixed to, covering etc the upper or outer side of"
on,preposition,narrower,in a large vehicle used by the public,"in or into (a vehicle, train etc)"
on,preposition,exact,used with the day or date of sth,"at or during a certain day, time etc"
on,preposition,exact,relating to a particular subject,about
on,preposition,exact,"indicates sth or sb uses a type of food, fuel, etc.","receiving, taking"
on,preposition,related,along or in a place,taking part in
on,preposition,related,hitting against,near or beside
on,preposition,related,indicates the device used,by means of
on,preposition,narrower,"indicates how sth is broadcast, recorded, etc.",being carried by
on,preposition,related,used with the day or date of sth,"when (something is, or has been, done)"
on,preposition,related,immediately following,followed by
one,number,exact,the number 1,the number or figure 1
one,number,related,the number 1,the age of 1
offspring,noun,broader,a person's child or an animal's baby,"(formal, humorous) someone’s child or children"
absorb,verb,related,to take in a liquid,to soak up
absorb,verb,related,to understand and remember,to take up the whole attention of (a person)
absorb,verb,broader,to understand and remember,to learn and understand new information
according to,preposition,exact,as stated by,as said or told by
according to,preposition,related,conforming to or in relation to,in agreement with
acknowledge,verb,narrower,to admit sth to yourself or others,to admit as being fact
acknowledge,verb,related,"to respond to a letter, email etc. that has been received",to give thanks for
acknowledge,verb,related,to show that you see or recognize sb,to greet someone
action,noun,exact,sth you do,something done
action,noun,exact,armed fighting,a battle; fighting
action,noun,broader,the way sth moves or functions,the mechanical parts of a machine or the way the parts move
acute,adjective,related,"severe, very serious",very great
acute,adjective,exact,able to sense or understand easily,quick-witted
appreciate,verb,broader,to be grateful for and value sth,to be grateful for (something)
appreciate,verb,exact,to realize and understand,to value (someone or something) highly
appreciate,verb,exact,to increase in value,to increase in value
attention,noun,narrower,the action of noticing sth or considering sth important,notice
attention,noun,broader,special treatment or care,care
squall,verb,exact,utter a sudden loud cry,"to cry out; to scream or cry violently, as a woman frightened, or a child in anger or distress; ."
tumid,adjective,exact,abnormally distended especially by fluids or gas,"swelled, enlarged, or distended;"
tumid,adjective,exact,ostentatiously lofty in style,swelling in sound or sense; pompous; puffy; inflated; bombastic; falsely sublime; turgid; .
tumid,adjective,related,of sexual organs; stiff and rigid,rising above the level; protuberant.
commentator,noun,narrower,a writer who reports and analyzes events of the day,one who writes a commentary or comments; an expositor; an annotator.
commentator,noun,narrower,an expert who observes and comments on something,one who writes a commentary or comments; an expositor; an annotator.
idyllic,adjective,exact,suggestive of an idyll; charmingly simple and serene,of or belonging to idyls.
nones,noun,exact,a service in the Roman Catholic Church formerly read or chanted at 3 PM (the ninth hour counting from sunrise) but now somewhat earlier,"the canonical office, being a part of the breviary, recited at noon (formerly at the ninth hour, 3 ) in the roman catholic church."
homely,adjective,narrower,without artificial refinement or elegance,"of plain or coarse features; uncomely; ugly; -- usually used of people, especially women; -- contrary to ."
homely,adjective,narrower,lacking in physical beauty or proportion,"of plain or coarse features; uncomely; ugly; -- usually used of people, especially women; -- contrary to ."
homely,adjective,exact,having a feeling of home; cozy and comfortable,"belonging to, or having the characteristics of, home; domestic; familiar; intimate."
homely,adjective,exact,plain and unpretentious,plain; unpretending; rude in appearance; unpolished;
arbiter,noun,exact,someone chosen to judge and decide a disputed issue,"a person appointed, or chosen, by parties to determine a controversy between them."
arbiter,noun,exact,someone with the power to settle matters at will,"any person who has the power of judging and determining, or ordaining, without control; one whose power of deciding and governing is not limited."
reassure,verb,exact,give or restore confidence in; cause to feel sure or certain,to assure anew; to restore confidence to; to free from fear or terror.
reassure,verb,exact,cause to feel sure; give reassurance to,to assure anew; to restore confidence to; to free from fear or terror.
hunchback,noun,narrower,an abnormal backward curve to the vertebral column,"a back with a hunch or hump; also, a hunchbacked person."
hunchback,noun,narrower,a person whose back is hunched because of abnormal curvature of the upper spine,"a back with a hunch or hump; also, a hunchbacked person."
unusual,adjective,related,not commonly encountered,not usual; uncommon; rare;
unusual,adjective,exact,not usual or common or ordinary,not usual; uncommon; rare;
unusual,adjective,related,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,not usual; uncommon; rare;
juridical,adjective,narrower,relating to the administration of justice or the function of a judge,pertaining to a judge or to jurisprudence; acting in the distribution of justice; used in courts of law; according to law; legal; .
juridical,adjective,narrower,of or relating to the law or jurisprudence,pertaining to a judge or to jurisprudence; acting in the distribution of justice; used in courts of law; according to law; legal; .
ohm,noun,exact,a unit of electrical resistance equal to the resistance between two points on a conductor when a potential difference of one volt between them produces a current of one ampere,"the standard unit in the measure of electrical resistance, being the resistance of a circuit in which a potential difference of one volt produces a current of one amp&eacute;re.  as defined by the international electrical congress in 1893, and by united states statute, it is a resistance substantially equal to 10 units of resistance of the c. g. s. system of electro-magnetic units, and is represented by the resistance offered to an unvarying electric current by a column of mercury at the temperature of melting ice 14.4521 grams in mass, of a constant cross-sectional area, and of the length of 106.3 centimeters. as thus defined it is called the ."
pennon,noun,exact,wing of a bird,a wing; a pinion.
pennon,noun,exact,a long flag; often tapering,a pennant; a flag or streamer.
bodiless,adjective,exact,not having a material body,having no body.
dealer,noun,narrower,the major party to a financial transaction at a stock exchange; buys and sells for his own account,"one who deals; one who has to do, or has concern, with others; esp., a trader, a trafficker, a shopkeeper, a broker, or a merchant;"
dealer,noun,exact,the person who distributes the playing cards in a card game,one who distributes cards to the players.
dealer,noun,narrower,someone who purchases and maintains an inventory of goods to be sold,"one who deals; one who has to do, or has concern, with others; esp., a trader, a trafficker, a shopkeeper, a broker, or a merchant;"
dealer,noun,narrower,a firm engaged in trading,"one who deals; one who has to do, or has concern, with others; esp., a trader, a trafficker, a shopkeeper, a broker, or a merchant;"
dealer,noun,narrower,a seller of illicit goods,"one who deals; one who has to do, or has concern, with others; esp., a trader, a trafficker, a shopkeeper, a broker, or a merchant;"
haggard,adjective,exact,showing the wearing effects of overwork or care or suffering,"having the expression of one wasted by want or suffering; hollow-eyed; having the features distorted or wasted by pain; wild and wasted, or anxious in appearance; ."
psychotherapy,noun,narrower,the branch of psychiatry concerned with psychological methods,psychotherapeutics.
psychotherapy,noun,narrower,the treatment of mental or emotional problems by psychological means,psychotherapeutics.
babel,noun,exact,(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another,"the city and tower in the land of shinar, where the confusion of languages took place."
babel,noun,exact,a confusion of voices and other sounds,"hence: a place or scene of noise and confusion; a confused mixture of sounds, as of voices or languages."
callosity,noun,exact,an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot),"a hard or thickened spot or protuberance; a hardening and thickening of the skin or bark of a part, eps. as a result of continued pressure or friction."
tramper,noun,related,a foot traveler; someone who goes on an extended walk (for pleasure),one who tramps; a stroller; a vagrant or vagabond; a tramp.
plurality,noun,narrower,(in an election with more than 2 options) the number of votes for the candidate or party receiving the greatest number (but less that half of the votes),"the greater number; a majority; also, the greatest of several numbers; in elections, the excess of the votes given for one candidate over those given for another, or for any other, candidate. when there are more than two candidates, the one who receives the  of votes may have less than a majority."
plurality,noun,exact,the state of being plural,"the state of being plural, or consisting of more than one; a number consisting of two or more of the same kind;"
dearly,adverb,exact,at a great cost,at a high rate or price; grievously.
dearly,adverb,narrower,with affection,in a dear manner; with affection; heartily; earnestly; .
dearly,adverb,narrower,in a sincere and heartfelt manner,in a dear manner; with affection; heartily; earnestly; .
capitalization,noun,narrower,writing in capital letters,the act or process of capitalizing.
capitalization,noun,narrower,the act of capitalizing on an opportunity,the act or process of capitalizing.
capitalization,noun,narrower,the sale of capital stock,the act or process of capitalizing.
allow,verb,narrower,give or assign a resource to a particular person or cause,"to grant, give, admit, accord, afford, or yield; to let one have;"
allow,verb,broader,allow or plan for a certain possibility; concede the truth or validity of something,to admit; to concede; to make allowance or abatement.
allow,verb,broader,allow or plan for a certain possibility; concede the truth or validity of something,to own or acknowledge; to accept as true; to concede; to accede to an opinion;
allow,verb,narrower,make a possibility or provide opportunity for; permit to be attainable or cause to remain,to grant license to; to permit; to consent to; .
allow,verb,narrower,let have,"to grant, give, admit, accord, afford, or yield; to let one have;"
allow,verb,exact,grant as a discount or in exchange,to grant (something) as a deduction or an addition; esp. to abate or deduct; .
allow,verb,narrower,allow the presence of or allow (an activity) without opposing or prohibiting,to grant license to; to permit; to consent to; .
allow,verb,narrower,"consent to, give permission",to grant license to; to permit; to consent to; .
fistulous,adjective,exact,hollow and tube-shaped like a reed,"hollow, like a pipe or reed; fistulose."
fistulous,adjective,exact,of or pertaining to or resembling a fistula,having the form or nature of a fistula; .
prehistoric,adjective,related,belonging to or existing in times before recorded history,of or pertaining to a period before written history begins;
prehistoric,adjective,exact,of or relating to times before written history,of or pertaining to a period before written history begins;
horn,noun,exact,any hard protuberance from the head of an organism that is similar to or suggestive of a horn,"a hard, projecting, and usually pointed organ, growing upon the heads of certain animals, esp. of the ruminants, as cattle, goats, and the like. the hollow horns of the ox family consist externally of true horn, and are never shed."
horn,noun,exact,the material (mostly keratin) that covers the horns of ungulates and forms hooves and claws and nails,"the tough, fibrous material of which true horns are composed, being, in the ox family, chiefly albuminous, with some phosphate of lime; also, any similar substance, as that which forms the hoof crust of horses, sheep, and cattle; ."
horn,noun,related,one of the bony outgrowths on the heads of certain ungulates,"any natural projection or excrescence from an animal, resembling or thought to resemble a horn in substance or form"
horn,noun,related,one of the bony outgrowths on the heads of certain ungulates,"the antler of a deer, which is of bone throughout, and annually shed and renewed."
horn,noun,exact,a device having the shape of a horn,"something made of a horn, or in resemblance of a horn"
prospect,verb,exact,"explore for useful or valuable things or substances, such as minerals",to look over; to explore or examine for something; .
prospect,verb,exact,search for something desirable,"to make a search; to seek; to explore, as for mines or the like; ."
pioneer,verb,exact,take the lead or initiative in; participate in the development of,to take part in the early development of; to break ground in; to invent or originate.
pioneer,verb,narrower,open up an area or prepare a way,"to go before, and prepare or open a way for; to act as pioneer."
pioneer,verb,narrower,open up and explore a new area,"to go before, and prepare or open a way for; to act as pioneer."
procrastinate,verb,related,postpone or delay needlessly,to delay; to be dilatory.
procrastinate,verb,related,postpone or delay needlessly,"to put off till to-morrow, or from day to day; to defer; to postpone; to delay; ."
procrastinate,verb,related,postpone doing what one should be doing,to delay; to be dilatory.
procrastinate,verb,related,postpone doing what one should be doing,"to put off till to-morrow, or from day to day; to defer; to postpone; to delay; ."
excitable,adjective,exact,easily excited,"capable of being excited, or roused into action; susceptible of excitement; easily stirred up, or stimulated."
yellowwood,noun,narrower,the yellow wood of any of various yellowwood trees,"the wood of any one of several different kinds of trees; also, any one of the trees themselves. among the trees so called are the , an american leguminous tree; the several species of prickly ash (); the australian , a tree related to the mahogany; certain south african species of , trees related to the yew; the east indian ; and the true satinwood ().  all these old world trees furnish valuable timber."
yellowwood,noun,narrower,any of various trees having yellowish wood or yielding a yellow extract,"the wood of any one of several different kinds of trees; also, any one of the trees themselves. among the trees so called are the , an american leguminous tree; the several species of prickly ash (); the australian , a tree related to the mahogany; certain south african species of , trees related to the yew; the east indian ; and the true satinwood ().  all these old world trees furnish valuable timber."
intensify,verb,exact,become more intense,"to become intense, or more intense; to act with increasing power or energy."
intensify,verb,exact,"make more intense, stronger, or more marked",to render more intense;
demarcate,verb,narrower,"set, mark, or draw the boundaries of something",to mark by bounds; to set the limits of; to separate; to discriminate.
